stage1_regularization_factor,stage1_regularization_value,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
20260625,s1_122,1,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,0.6231481481481481,0.6146290038463952,0.6060982399666174,0.5542857142857143,0.6231481481481481,0.6231481481481481,0.6231481481481481,0.6146290038463952,0.6146290038463952,0.6146290038463952,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.013733700902029024,0.013733700902029024,0.013733700902029024,0.4609221462994671,0.4609221462994671,0.4609221462994671,0.6032480314991493,0.6032480314991493,0.6032480314991493
20260625,s1_102,1,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,0.6175925925925926,0.6080746539322391,0.5791228114604279,0.5484033613445378,0.6175925925925926,0.6175925925925926,0.6175925925925926,0.6080746539322391,0.6080746539322391,0.6080746539322391,0.5484033613445378,0.5484033613445378,0.5484033613445378,0.03098740839015095,0.03098740839015095,0.03098740839015095,0.4643579041014202,0.4643579041014202,0.4643579041014202,0.6070458992842174,0.6070458992842174,0.6070458992842174
generalization_grid,wd0.01_do0.5_ls0.3,112,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,0.5814814814814815,0.5702389702847369,0.5123198882320803,0.5066666666666666,0.5041583994708995,0.5814814814814815,0.41296296296296287,0.4922327404863208,0.5702389702847369,0.3984520816873758,0.4164558904703926,0.5424922600619195,0.29865497076023395,0.06708347405287055,0.12587144791086247,0.015143914105366784,0.4368169140477453,0.503194620310081,0.3031047159405181,0.43305779185564697,0.5846400474498886,0.2788694196373943
generalization_grid,wd0.005_do0.5_ls0.2,112,gen_080,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,0.5805555555555555,0.5693044657341333,0.5344677324908647,0.5244444444444445,0.5045304232804233,0.5805555555555555,0.3805555555555554,0.49421933299397175,0.5693044657341333,0.3593012698275856,0.40653186137782094,0.5244444444444445,0.27290209790209785,0.0722622632666767,0.1396813810177213,0.0140423619334288,0.44194823157393687,0.5068728556404383,0.30530920825974206,0.6094904540387424,0.8302117170637466,0.3775757030526678
20260608,s1_091,1,ref_20260608_top2_s1_091,20260608_s1_091_no_early_stop_fixed_reference,0.5648148148148148,0.5466865481228114,0.4958445403088212,0.48133195307108345,0.5648148148148148,0.5648148148148148,0.5648148148148148,0.5466865481228114,0.5466865481228114,0.5466865481228114,0.48133195307108345,0.48133195307108345,0.48133195307108345,0.05555555555555561,0.05555555555555561,0.05555555555555561,0.47150498141719677,0.47150498141719677,0.47150498141719677,0.9213163317487132,0.9213163317487132,0.9213163317487132
20260608,s1_105,1,ref_20260608_top3_s1_105,20260608_s1_105_no_early_stop_fixed_reference,0.5601851851851852,0.5510904171881423,0.5067301324662916,0.5033613445378151,0.5601851851851852,0.5601851851851852,0.5601851851851852,0.5510904171881423,0.5510904171881423,0.5510904171881423,0.5033613445378151,0.5033613445378151,0.5033613445378151,0.043058044531801565,0.043058044531801565,0.043058044531801565,0.4734150150642007,0.4734150150642007,0.4734150150642007,0.64975179634131,0.64975179634131,0.64975179634131
20260527,g0068,1,ref_20260527_top1_g0068,20260527_g0068_no_early_stop_fixed_reference,0.5527777777777778,0.5460743831332067,0.48494239707440545,0.4966366966366966,0.5527777777777778,0.5527777777777778,0.5527777777777778,0.5460743831332067,0.5460743831332067,0.5460743831332067,0.4966366966366966,0.4966366966366966,0.4966366966366966,0.054641398606742844,0.054641398606742844,0.054641398606742844,0.4951889432252516,0.4951889432252516,0.4951889432252516,4.125778362215752,4.125778362215752,4.125778362215752
20260527,g0056,1,ref_20260527_top2_g0056,20260527_g0056_no_early_stop_fixed_reference,0.5509259259259258,0.5535429686748842,0.4298181040202001,0.526231884057971,0.5509259259259258,0.5509259259259258,0.5509259259259258,0.5535429686748842,0.5535429686748842,0.5535429686748842,0.526231884057971,0.526231884057971,0.526231884057971,0.09755234956345131,0.09755234956345131,0.09755234956345131,0.49047652597593183,0.49047652597593183,0.49047652597593183,4.317998570645669,4.317998570645669,4.317998570645669
20260608,s1_163,1,ref_20260608_top4_s1_163,20260608_s1_163_no_early_stop_fixed_reference,0.5481481481481482,0.5448699628495025,0.47922578630824003,0.5129081063863673,0.5481481481481482,0.5481481481481482,0.5481481481481482,0.5448699628495025,0.5448699628495025,0.5448699628495025,0.5129081063863673,0.5129081063863673,0.5129081063863673,0.05551696190341212,0.05551696190341212,0.05551696190341212,0.4745940268563104,0.4745940268563104,0.4745940268563104,0.9122938984548069,0.9122938984548069,0.9122938984548069
20260608,s1_085,1,ref_20260608_top1_s1_085,20260608_s1_085_no_early_stop_fixed_reference,0.5425925925925925,0.5375701028471702,0.4722705286659904,0.4978992826818914,0.5425925925925925,0.5425925925925925,0.5425925925925925,0.5375701028471702,0.5375701028471702,0.5375701028471702,0.4978992826818914,0.4978992826818914,0.4978992826818914,0.05664442192289917,0.05664442192289917,0.05664442192289917,0.4911845007350223,0.4911845007350223,0.4911845007350223,0.9299035436297258,0.9299035436297258,0.9299035436297258
