model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
inceptiontime,1,1,0.4331544573589038,0.9399440925581133,1.5693789187844376,0.39401319102253285
inceptiontime,1,2,0.35987565458141346,0.9800140299369158,1.3657797385875918,0.4584102982729988
inceptiontime,1,3,0.3428793679321966,0.9899205219955053,1.3154429587531127,0.496535858730962
inceptiontime,1,4,0.3372349243971609,0.9892726281448124,1.3610047116788968,0.4573880311207878
inceptiontime,1,5,0.3282036287009075,0.9932117058262132,1.7062025591218868,0.4797449193100112
inceptiontime,1,6,0.3235373938436149,0.9965177627087374,1.5713724148519326,0.45118845164158444
inceptiontime,1,7,0.32856732526774046,0.9929521606188301,1.337930758027158,0.514533831181732
inceptiontime,1,8,0.31770047865888124,0.9964987285087877,1.5369548649462614,0.46154228157331983
inceptiontime,2,1,0.4419221898684135,0.9367358761104695,1.5692761153551351,0.468186977931218
inceptiontime,2,2,0.36552654947990026,0.9799472923877383,1.5028422978806577,0.3838183141924423
inceptiontime,2,3,0.35113326058937955,0.9841628849538152,1.3040021145235645,0.518915623507676
inceptiontime,2,4,0.34620280517981605,0.9868469230222633,1.263688104541219,0.5643515582799032
inceptiontime,2,5,0.33899611945335684,0.9895796506660925,1.2439554606074648,0.5032238114250375
inceptiontime,2,6,0.3319593832278863,0.9916166997897449,1.1326303558122899,0.5994713747778638
inceptiontime,2,7,0.3286260703435311,0.9933763787728767,1.1897645320301695,0.5740317997134738
inceptiontime,2,8,0.3255327220910635,0.9944515516165806,1.4121815131759883,0.41572469214088326
inceptiontime,3,1,0.42434167931067573,0.948213865887047,1.9626678997458724,0.3659381980796142
inceptiontime,3,2,0.35972889282347,0.9842585468976696,1.1757609970382172,0.5134700722970162
inceptiontime,3,3,0.34792987748826903,0.9885380941884362,1.4327375004144938,0.4760276333810083
inceptiontime,3,4,0.3455647100339231,0.9901643733107637,1.332629587935468,0.5023274640254112
inceptiontime,3,5,0.33794245922688354,0.9918192761736747,1.421798227977665,0.3996799808722849
inceptiontime,3,6,0.3276041076355374,0.9957862412076096,1.4017737630894878,0.5278149557847311
inceptiontime,3,7,0.32538914918592293,0.9966168265480161,1.3202557444171317,0.4086509083160233
inceptiontime,3,8,0.3276468056839766,0.9943742999844245,1.3665904284763424,0.48221116415364446
inceptiontime,4,1,0.44260793556401756,0.9367831456680119,1.3098855392467341,0.5055430276524987
inceptiontime,4,2,0.36645150147838357,0.9771373375875071,1.3211572233741806,0.5405972393057263
inceptiontime,4,3,0.35299904214011296,0.9849950295415052,1.1507450878267458,0.5337080315247597
inceptiontime,4,4,0.3379451398496275,0.9907417153894097,1.1814780878950153,0.5822787116760056
inceptiontime,4,5,0.3349660693127432,0.9922988021650259,1.0184116077846324,0.6518336294474055
inceptiontime,4,6,0.3294478670314506,0.9926181868771146,0.9854023306680149,0.661859368593686
inceptiontime,4,7,0.32503130906893885,0.9949054014126681,0.9914968112516686,0.6899662885517744
inceptiontime,4,8,0.32485200961430866,0.9942339093451255,1.147414151028063,0.5802685526855268
inceptiontime,5,1,0.4443878532927713,0.9358298968928253,1.2708724281814314,0.6128855177440663
inceptiontime,5,2,0.36184053281207146,0.9792655205065003,1.7803223137714506,0.584873120199346
inceptiontime,5,3,0.34582922171663355,0.9873309618712218,1.1959646546796598,0.5624977080026263
inceptiontime,5,4,0.33756411686355686,0.9906927242557763,1.3196797373554843,0.5328891937734398
inceptiontime,5,5,0.33178414084293223,0.9919990523902166,1.8180580381985734,0.6036325082395176
inceptiontime,5,6,0.3302239038326122,0.9921488566413105,1.0618482692625077,0.5726491426194656
inceptiontime,5,7,0.3291947004971681,0.9925053600136587,1.0300303094708765,0.6687901951349461
inceptiontime,5,8,0.321357939493509,0.9958868537016516,1.082287435787222,0.544695384242239
