rank_all_configs,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,config_key,n_rows_total,n_repeats_done,n_repeats_expected,failed_count,missing_repeats,is_complete,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_balanced_accuracy_ci95_high,subject_balanced_accuracy_ci95_margin,subject_balanced_accuracy_min,subject_balanced_accuracy_max,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_ci95_low,subject_macro_f1_ci95_high,subject_macro_f1_ci95_margin,subject_macro_f1_min,subject_macro_f1_max,file_balanced_accuracy_mean,file_balanced_accuracy_std,file_balanced_accuracy_ci95_low,file_balanced_accuracy_ci95_high,file_balanced_accuracy_ci95_margin,file_balanced_accuracy_min,file_balanced_accuracy_max,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_ci95_low,file_macro_f1_ci95_high,file_macro_f1_ci95_margin,file_macro_f1_min,file_macro_f1_max,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_ci95_low,window_balanced_accuracy_ci95_high,window_balanced_accuracy_ci95_margin,window_balanced_accuracy_min,window_balanced_accuracy_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_ci95_low,window_macro_f1_ci95_high,window_macro_f1_ci95_margin,window_macro_f1_min,window_macro_f1_max,best_val_loss_mean,best_val_loss_std,best_val_loss_ci95_low,best_val_loss_ci95_high,best_val_loss_ci95_margin,best_val_loss_min,best_val_loss_max,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_ci95_low,best_val_accuracy_ci95_high,best_val_accuracy_ci95_margin,best_val_accuracy_min,best_val_accuracy_max,duration_sec_mean,duration_sec_std,duration_sec_ci95_low,duration_sec_ci95_high,duration_sec_ci95_margin,duration_sec_min,duration_sec_max,n_windows_mean,n_windows_std,n_windows_ci95_low,n_windows_ci95_high,n_windows_ci95_margin,n_windows_min,n_windows_max,n_extra_features_mean,n_extra_features_std,n_extra_features_ci95_low,n_extra_features_ci95_high,n_extra_features_ci95_margin,n_extra_features_min,n_extra_features_max,pre_frail_precision_mean,pre_frail_precision_std,pre_frail_precision_ci95_low,pre_frail_precision_ci95_high,pre_frail_recall_mean,pre_frail_recall_std,pre_frail_recall_ci95_low,pre_frail_recall_ci95_high,pre_frail_f1_mean,pre_frail_f1_std,pre_frail_f1_ci95_low,pre_frail_f1_ci95_high,pre_frail_support_mean,pre_frail_support_std,pre_frail_support_ci95_low,pre_frail_support_ci95_high,robust_non_frail_precision_mean,robust_non_frail_precision_std,robust_non_frail_precision_ci95_low,robust_non_frail_precision_ci95_high,robust_non_frail_recall_mean,robust_non_frail_recall_std,robust_non_frail_recall_ci95_low,robust_non_frail_recall_ci95_high,robust_non_frail_f1_mean,robust_non_frail_f1_std,robust_non_frail_f1_ci95_low,robust_non_frail_f1_ci95_high,robust_non_frail_support_mean,robust_non_frail_support_std,robust_non_frail_support_ci95_low,robust_non_frail_support_ci95_high,young_precision_mean,young_precision_std,young_precision_ci95_low,young_precision_ci95_high,young_recall_mean,young_recall_std,young_recall_ci95_low,young_recall_ci95_high,young_f1_mean,young_f1_std,young_f1_ci95_low,young_f1_ci95_high,young_support_mean,young_support_std,young_support_ci95_low,young_support_ci95_high,worst_class_recall_mean,worst_class_f1_mean,worst_class_recall_run_mean,worst_class_f1_run_mean
58,cnn,cnn1d,0,50,20,10.0,5.0,50.0,0.9,model=cnn|resolved_model=cnn1d|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,5,5,5,0,0,True,0.6314814814814815,0.06103390184324813,0.5557100321240692,0.7072529308388938,0.07577144935741235,0.5277777777777778,0.6712962962962963,0.6196640086356064,0.05539546315958052,0.5508924832265539,0.688435534044659,0.06877152540905253,0.525879917184265,0.6625935398313915,0.6372222222222222,0.026871002111163663,0.6038628151687766,0.6705816292756679,0.0333594070534456,0.6074074074074075,0.6592592592592593,0.6267127407340973,0.019333334829904163,0.6027110833480713,0.6507143981201233,0.024001657386025957,0.6018967783673667,0.6475095785440613,0.5992933770477367,0.024203338543051584,0.569245780788773,0.6293409733067004,0.03004759625896369,0.5605757864234753,0.6226105153995453,0.5915964766454669,0.02348290908646208,0.5624432682994005,0.6207496849915333,0.029153208346066422,0.5560788617119458,0.6174604776279923,1.3286542240836814,0.31298351258024976,0.9400961660705032,1.7172122820968596,0.38855805801317816,0.8264609148519161,1.640441761603982,0.7277988470058792,0.020911936107459183,0.7018374114777806,0.7537602825339778,0.02596143552809863,0.6986230707426024,0.754131657368197,91.72199836205691,2.9441924652944977,88.0668866365198,95.37711008759402,3.6551117255371066,87.59766140580177,95.29374697804452,7825.0,0.0,7825.0,7825.0,0.0,7825.0,7825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935353535353535,0.08541955488707732,0.48748997085800644,0.6995807362127006,0.711111111111111,0.12668615834434865,0.5538346870029602,0.8683875352192618,0.6451461988304094,0.09687576132436855,0.5248783375030708,0.7654140601577479,9.0,0.0,9.0,9.0,0.5691341991341992,0.06857469437760708,0.4840011202172121,0.6542672780511862,0.4833333333333334,0.10865337342004416,0.34844397949924544,0.6182226871674213,0.5186637542472783,0.085979098396901,0.4119237179194607,0.6254037905750959,12.0,0.0,12.0,12.0,0.7150793650793651,0.09697490408956146,0.5946884214848751,0.8354703086738551,0.7,0.16770509831248423,0.4918,0.9081999999999999,0.6951820728291317,0.09081472684603173,0.5824387733134944,0.807925372344769,8.0,0.0,8.0,8.0,0.4833333333333334,0.5186637542472783,0.47777777777777775,0.5080357349236068
59,cnn,cnn1d,HRV,50,20,15.0,10.5,30.000000000000004,0.9,model=cnn|resolved_model=cnn1d|extra_input=HRV|cnn_epochs=50|cnn_patience=20|window_sec=15|hop_sec=10p5|overlap_pct=30|max_windows_fraction=0p9,5,5,5,0,0,True,0.6296296296296295,0.0838461586864575,0.5255375631738244,0.7337216960854347,0.10409206645580518,0.5324074074074074,0.736111111111111,0.6262088068226175,0.0804691525459351,0.5263091750961769,0.726108438549058,0.09989963172644058,0.533816425120773,0.7286160841148052,0.6135185185185185,0.0434869862122184,0.5595309497416074,0.6675060872954295,0.05398756877691104,0.5666666666666667,0.6638888888888889,0.6087933118185292,0.04772483510441777,0.5495446022162398,0.6680420214208187,0.059248709602289444,0.5489558770420411,0.6596084984119882,0.5841941385409529,0.03667370684727818,0.5386650172295889,0.6297232598523169,0.045529121311363975,0.537029007925422,0.6322293328449822,0.5805043085259103,0.040235397752581864,0.530553472824549,0.6304551442272716,0.0499508357013613,0.5227888064062948,0.627106431682639,0.9856354573411876,0.27864561781630026,0.6397066918289047,1.3315642228534705,0.3459287655122829,0.6100549187122678,1.281701010666742,0.7433076799743467,0.06078051011100214,0.6678508075688843,0.818764552379809,0.07545687240546237,0.6864197530864198,0.8298989898989899,47.48072749432176,5.823350341309257,40.251242205797695,54.71021278284583,7.229485288524068,43.17720358539373,57.11116829048842,3908.0,0.0,3908.0,3908.0,0.0,3908.0,3908.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.5848484848484847,0.10027510368348058,0.46036045915948565,0.7093365105374838,0.6888888888888889,0.09296222517045284,0.5734795454923949,0.8042982322853829,0.6284057971014493,0.07894627399500093,0.5303967657055586,0.72641482849734,9.0,0.0,9.0,9.0,0.5929292929292929,0.12774882891619893,0.4343336005622429,0.7515249852963428,0.5499999999999999,0.12638125740085915,0.39310209972370214,0.7068979002762977,0.5681477942347508,0.12210490214555177,0.41655883908363955,0.7197367493858621,12.0,0.0,12.0,12.0,0.7484126984126984,0.06309399020429142,0.6700837215794664,0.8267416752459305,0.65,0.18540496217739158,0.4198262395493353,0.8801737604506648,0.6820728291316527,0.11726294503604749,0.536494993978339,0.8276506642849664,8.0,0.0,8.0,8.0,0.5499999999999999,0.5681477942347508,0.5083333333333334,0.5488612836438923
60,inceptiontime,inception_time,HRV,50,10,15.0,7.5,50.0,0.9,model=inceptiontime|resolved_model=inception_time|extra_input=HRV|cnn_epochs=50|cnn_patience=10|window_sec=15|hop_sec=7p5|overlap_pct=50|max_windows_fraction=0p9,5,5,5,0,0,True,0.6287037037037037,0.059594681500114884,0.5547189959448204,0.7026884114625869,0.07398470775888318,0.5694444444444444,0.7129629629629629,0.6270818240154625,0.06128967751800488,0.5509928381250515,0.7031708099058736,0.07608898589041108,0.5583402951824005,0.6995670995670995,0.5881481481481481,0.02286305926025643,0.5597644616300678,0.6165318346662284,0.02838368651808029,0.5666666666666667,0.625,0.5860113039830656,0.0208427268622639,0.5601357893064774,0.6118868186596537,0.025875514676588145,0.5624209898628504,0.6165079365079364,0.5694798266316223,0.022126642496591867,0.5420103757076757,0.5969492775555689,0.027469450923946603,0.5518537916832048,0.606721069853306,0.5672616920203326,0.020558361421723362,0.5417392070686382,0.592784176972027,0.025522484951694367,0.5419065574313408,0.5975112954896986,1.0537526577372516,0.3514521161079416,0.6174371771110649,1.4900681383634382,0.4363154806261866,0.5030669394224841,1.3589270180965338,0.7539549738827108,0.05680136500051972,0.6834380706274932,0.8244718771379285,0.07051690325521759,0.7034266953934544,0.8454911433172302,129.13037115801126,21.398032231141723,102.56546433435231,155.6952779816702,26.564906823658944,101.40993532817812,154.71449310798198,5215.0,0.0,5215.0,5215.0,0.0,5215.0,5215.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.5540293040293041,0.09816063879752097,0.4321663123654275,0.6758922956931807,0.6444444444444444,0.16480441082434805,0.43984554626607575,0.849043342622813,0.5883116883116882,0.10736018013889057,0.45502778859822873,0.7215955880251477,9.0,0.0,9.0,9.0,0.5873917748917749,0.0655638969302944,0.5059964954504036,0.6687870543331461,0.5666666666666667,0.16029486718059455,0.3676662088224139,0.7656671245109195,0.5630925138934293,0.08478848703261267,0.4578305798328603,0.6683544479539982,12.0,0.0,12.0,12.0,0.8280952380952382,0.11503228374615049,0.6852866907288182,0.9709037854616582,0.675,0.18957188610128875,0.4396531495855533,0.9103468504144467,0.7298412698412698,0.13828849823017228,0.5581609475300514,0.9015215921524883,8.0,0.0,8.0,8.0,0.5666666666666667,0.5630925138934293,0.44722222222222224,0.512781954887218
61,cnn,cnn1d,0,50,10,10.0,7.0,30.000000000000004,0.9,model=cnn|resolved_model=cnn1d|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,5,5,5,0,0,True,0.6268518518518518,0.026514483450511796,0.5939350502164562,0.6597686534872473,0.032916801635395565,0.5879629629629629,0.6620370370370371,0.6309282660923528,0.023016429267687155,0.6023541760870298,0.6595023560976757,0.02857409000532299,0.5977878330819507,0.6623376623376623,0.6131481481481481,0.024404779828214956,0.5828504695959624,0.6434458267003338,0.030297678552185736,0.5861111111111111,0.6453703703703704,0.6131880758731225,0.020250668727287063,0.5880475806142058,0.6383285711320392,0.025140495258916686,0.5910074493806551,0.6352814250861255,0.5830085683625318,0.007283484182983526,0.573966378100244,0.5920507586248196,0.009042190262287841,0.5773682516356501,0.5948989965639331,0.5823264358253599,0.006398313942101858,0.5743831533840387,0.5902697182666812,0.00794328244132123,0.5762807750084139,0.5928334105232821,1.0822886059522299,0.34009419253709283,0.6600735892430348,1.5045036226614248,0.42221501670919503,0.5769347064540973,1.4149761224913802,0.7116797610646284,0.0584700899876517,0.6390911942415357,0.784268327887721,0.07258856682309264,0.6684786086320612,0.8135248894042864,41.992460006289186,9.574868392860617,30.10559658083075,53.87932343174762,11.886863425458436,34.45046608150005,57.90695037599653,5653.0,0.0,5653.0,5653.0,0.0,5653.0,5653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803846153846154,0.039607915651401315,0.5312127767130425,0.6295564540561883,0.6888888888888889,0.09296222517045284,0.5734795454923949,0.8042982322853829,0.6248240923163524,0.020593193297864885,0.5992583648115953,0.6503898198211094,9.0,0.0,9.0,9.0,0.5843589743589744,0.07556710860351608,0.49054505832681733,0.6781728903911315,0.5666666666666668,0.03726779962499652,0.5204000000000001,0.6129333333333334,0.5727226107226107,0.03950316714677558,0.523680813647164,0.6217644077980573,12.0,0.0,12.0,12.0,0.7857142857142858,0.06520506636966265,0.704764481833737,0.8666640895948347,0.625,0.0,0.625,0.625,0.6952380952380952,0.02608202654786508,0.6628581736858756,0.7276180167903148,8.0,0.0,8.0,8.0,0.5666666666666668,0.5727226107226107,0.5611111111111112,0.5727226107226107
62,inceptiontime,inception_time,HRV,50,10,5.0,3.5,30.000000000000004,0.9,model=inceptiontime|resolved_model=inception_time|extra_input=HRV|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,5,5,5,0,0,True,0.6212962962962962,0.12007620751183494,0.47222589440915813,0.7703666981834343,0.1490704018871381,0.5509259259259259,0.8333333333333334,0.6196040407148228,0.11809827962560081,0.472989166954484,0.7662189144751615,0.1466148737603388,0.5471794871794872,0.827536231884058,0.5998148148148148,0.06907742519921851,0.5140576132079828,0.6855720164216468,0.085757201606832,0.5296296296296297,0.7129629629629629,0.6008987725445294,0.06286466348768797,0.5228544967900199,0.6789430482990388,0.07804427575450944,0.53949289371909,0.7054578754578754,0.5755281866580473,0.05459505630239201,0.5077503383008166,0.6433060350152779,0.06777784835723066,0.5286932762354626,0.6623531025463038,0.5785088810294355,0.050841541212660844,0.5153908900620255,0.6416268719968455,0.06311799096741,0.5351092974131163,0.6600174850625931,1.085603484521594,0.48417021080562034,0.4845231422776033,1.6866838267655848,0.6010803422439908,0.4846525654547816,1.687105061532166,0.7332257795920574,0.05871837041836646,0.6603289813186692,0.8061225778654455,0.07289679827338817,0.6819153813406688,0.8166217917480209,174.48395950682462,30.685184677072936,136.38937851881775,212.5785404948315,38.09458098800687,150.96343874186277,224.88756529707464,11295.0,0.0,11295.0,11295.0,0.0,11295.0,11295.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.5909090909090909,0.14010031824929495,0.4169794575645343,0.7648387242536476,0.6888888888888889,0.21372648957412604,0.42355494509655195,0.9542228326812259,0.6336665192392745,0.1712643582793477,0.4210478227741248,0.8462852157044243,9.0,0.0,9.0,9.0,0.5650349650349651,0.1446006065679703,0.38551838151789564,0.7445515485520345,0.55,0.12638125740085918,0.3931020997237022,0.7068979002762978,0.5554709638187899,0.13124455337142932,0.39253545209679797,0.7184064755407819,12.0,0.0,12.0,12.0,0.7342857142857142,0.10944096245482561,0.598418596276944,0.8701528322944844,0.625,0.15309310892394862,0.4349402725457074,0.8150597274542926,0.6696746390864038,0.12611062858918076,0.5131127149918584,0.8262365631809492,8.0,0.0,8.0,8.0,0.55,0.5554709638187899,0.49722222222222223,0.5382039954929981
63,cnn,cnn1d,0,50,10,15.0,7.5,50.0,0.9,model=cnn|resolved_model=cnn1d|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=15|hop_sec=7p5|overlap_pct=50|max_windows_fraction=0p9,5,5,5,0,0,True,0.6194444444444445,0.055012780657455386,0.5511480059453557,0.6877408829435332,0.06829643849908874,0.5601851851851852,0.6898148148148149,0.6267817596421714,0.06314855514184226,0.5483850423519563,0.7051784769323866,0.0783967172902151,0.5589225589225589,0.6970426065162907,0.602037037037037,0.01642572758659331,0.5816450721060928,0.6224290019679812,0.020391964930944195,0.5814814814814814,0.6175925925925926,0.6098511351606982,0.024006122957088722,0.5800483751375475,0.639653895183849,0.029802760023150753,0.5727221944550613,0.6351345905867182,0.5794678360855415,0.016904685676911394,0.5584812614772074,0.6004544106938756,0.02098657460833408,0.5669906091645157,0.6073691338670574,0.5847422789919565,0.017987806083251248,0.5624110483721529,0.6070735096117601,0.022331230619803532,0.5594768444667415,0.609412102896009,1.1450496154672032,0.3786961978412552,0.6749115625164301,1.6151876684179762,0.4701380529507731,0.6548310632112108,1.4997897468353236,0.70471040110587,0.04616951207149587,0.6473925705210507,0.7620282316906893,0.05731783058481931,0.664405937612911,0.7828703703703704,30.84489316903055,4.74394182780779,24.955455707151927,36.73433063090917,5.889437461878621,22.76597921550274,34.85835796408355,5215.0,0.0,5215.0,5215.0,0.0,5215.0,5215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933333333333334,0.09792146550575734,0.47176726692603077,0.714899399740636,0.6666666666666667,0.07856742013183861,0.5691279690596954,0.764205364273638,0.627017543859649,0.08734657656879691,0.5185798313236923,0.7354552563956057,9.0,0.0,9.0,9.0,0.554145854145854,0.042726421337298266,0.5011024999965945,0.6071892082951136,0.5666666666666667,0.10865337342004412,0.43177731283257875,0.7015560205007545,0.5583338400729706,0.07422622594760722,0.466184582848264,0.6504830972976772,12.0,0.0,12.0,12.0,0.8095238095238095,0.21095291841273037,0.5476331570900131,1.0714144619576058,0.625,0.0,0.625,0.625,0.694993894993895,0.08893801725715454,0.5845804646374897,0.8054073253503002,8.0,0.0,8.0,8.0,0.5666666666666667,0.5583338400729706,0.55,0.553986013986014
64,cnn,cnn1d,0,50,20,10.0,7.0,30.000000000000004,0.9,model=cnn|resolved_model=cnn1d|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,5,5,5,0,0,True,0.6185185185185185,0.019256142910264274,0.5946126921944622,0.6424243448425747,0.023905826324056217,0.5972222222222222,0.6481481481481481,0.6087833148191204,0.020361009914074708,0.5835058348452467,0.6340607947929942,0.025277479973873782,0.5863408165198446,0.6309523809523809,0.633148148148148,0.021450728305956603,0.6065178209950723,0.6597784753012237,0.026630327153075617,0.6138888888888888,0.6638888888888889,0.6239065413070208,0.01601685632232605,0.6040221757160908,0.6437909068979508,0.019884365590929935,0.6049382716049383,0.6460287679799875,0.5959184689966828,0.007576982345881886,0.5865119110548771,0.6053250269384884,0.009406557941805725,0.5874326882860706,0.6045830671851885,0.5853071345030065,0.006488654910560714,0.577251696916598,0.5933625720894151,0.008055437586408634,0.5749270356596019,0.5906600660166573,1.1302805915954455,0.2620825454893353,0.8049142996941238,1.455646883496767,0.3253662919013217,0.81135298896307,1.4097530337888038,0.7156765703725385,0.0393547741562282,0.6668189979923627,0.7645341427527144,0.04885757238017588,0.6777972058388574,0.7813512004466778,72.11796975303442,5.11851155401781,65.76351710806567,78.47242239800316,6.35445264496874,64.7017238503322,78.72882044129074,5653.0,0.0,5653.0,5653.0,0.0,5653.0,5653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411421911421911,0.029604647306958557,0.5043890594167382,0.577895322867644,0.7555555555555555,0.049690399499995354,0.6938666666666666,0.8172444444444444,0.6296179183135704,0.026356125873319293,0.5968977120584181,0.6623381245687227,9.0,0.0,9.0,9.0,0.5722222222222222,0.06085806194501844,0.49666907193370996,0.6477753725107345,0.45,0.09501461875826152,0.3320426819188869,0.5679573180811132,0.49603174603174605,0.052644837942149234,0.4306750253962617,0.5613884666672304,12.0,0.0,12.0,12.0,0.7928571428571428,0.1308441110860389,0.6304187661934002,0.9552955195208854,0.65,0.10458250331675945,0.5201644886789443,0.7798355113210558,0.7007002801120448,0.03520814525725272,0.6569906021337317,0.7444099580903578,8.0,0.0,8.0,8.0,0.45,0.49603174603174605,0.4333333333333334,0.49603174603174605
65,cnn,cnn1d,HRV,50,10,5.0,2.5,50.0,0.9,model=cnn|resolved_model=cnn1d|extra_input=HRV|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,5,5,5,0,0,True,0.6101851851851853,0.05511009681464067,0.5417679320887476,0.6786024382816229,0.0684172530964376,0.5324074074074074,0.6620370370370371,0.6123122638206862,0.05129931655334761,0.5486259608169098,0.6759985668244625,0.06368630300377634,0.5466531440162271,0.6658730158730158,0.5948148148148148,0.05626704893283839,0.5249612462250942,0.6646683834045354,0.06985356858972058,0.5324074074074074,0.6861111111111112,0.5972297005815965,0.055706384501980316,0.5280721772265125,0.6663872239366806,0.06915752335508409,0.5438015755534004,0.6905125486037469,0.573144645080722,0.04724827674317349,0.5144875659763092,0.6318017241851349,0.05865707910441283,0.5338356366557652,0.6521900559814428,0.5762568615284716,0.046116460882879975,0.5190048921344029,0.6335088309225402,0.05725196939406859,0.5412613429042814,0.6558855558173685,1.3396248323241164,0.41923700483019727,0.8191567888123503,1.8600928758358826,0.5204680435117661,0.8334330874089456,1.7988729583833922,0.7397239874019312,0.03377147087356042,0.69779789030276,0.7816500845011025,0.041926097099171285,0.7106509953988428,0.7968451125521806,102.72811749503016,1.7060006868789412,100.61017745276399,104.84605753729633,2.117940042266173,101.00894885603338,104.55772562418132,15657.0,0.0,15657.0,15657.0,0.0,15657.0,15657.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.5871212121212122,0.04285495643554835,0.5339182861537732,0.6403241380886511,0.6888888888888889,0.09296222517045284,0.5734795454923949,0.8042982322853829,0.6309803921568627,0.04945687327858912,0.5695814178846791,0.6923793664290464,9.0,0.0,9.0,9.0,0.5568604598016362,0.060837258155508694,0.4813331366884426,0.6323877829148299,0.5666666666666667,0.09128709291752768,0.4533369412338983,0.679996392099435,0.5559887199257514,0.049819136182998346,0.49414000895827975,0.6178374308932231,12.0,0.0,12.0,12.0,0.7766666666666667,0.07031674369909666,0.6893708945913696,0.8639624387419639,0.575,0.14252192813739223,0.39806402287833037,0.7519359771216696,0.6499676793794442,0.09365677114022461,0.5336960815114908,0.7662392772473976,8.0,0.0,8.0,8.0,0.5666666666666667,0.5559887199257514,0.4916666666666667,0.5456438923395446
66,inceptiontime,inception_time,HRV,50,10,15.0,10.5,30.000000000000004,0.9,model=inceptiontime|resolved_model=inception_time|extra_input=HRV|cnn_epochs=50|cnn_patience=10|window_sec=15|hop_sec=10p5|overlap_pct=30|max_windows_fraction=0p9,5,5,5,0,0,True,0.6092592592592592,0.07265716610223817,0.5190579348230784,0.69946058369544,0.0902013244361808,0.5231481481481481,0.6851851851851851,0.6069518856330002,0.07170355854281243,0.5179344315494219,0.6959693397165785,0.08901745408357828,0.5303703703703704,0.6813186813186812,0.5901851851851851,0.03808471893274987,0.5429043418382286,0.6374660285321417,0.0472808433469566,0.5361111111111111,0.637037037037037,0.5883539311041545,0.03369432383450692,0.5465236093492783,0.6301842528590306,0.041830321754876075,0.5421708626330989,0.6289123547043259,0.5745933877671249,0.032715361383455877,0.5339784135738898,0.61520836196036,0.04061497419323516,0.5339518225941843,0.6228405841117373,0.5749648407514473,0.029864863102228804,0.5378886602390438,0.6120410212638507,0.03707618051240347,0.5397798479219702,0.6194292209295384,0.8972405300107031,0.3681946977289557,0.44013972127839035,1.3543413387430159,0.4571008087323128,0.2761017675277279,1.1766869250491814,0.7647467265245044,0.08375097206959999,0.6607728309163905,0.8687206221326182,0.1039738956081139,0.705761316872428,0.9089113355780022,100.1860582942143,6.699133357045654,91.86931909563577,108.50279749279284,8.316739198578537,91.98419221956284,109.94521494396032,3908.0,0.0,3908.0,3908.0,0.0,3908.0,3908.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.552991452991453,0.08890532392441602,0.4426186102614506,0.6633642957214554,0.711111111111111,0.20184335693983274,0.4605296598747841,0.9616925623474379,0.6192602718918507,0.13370295103587496,0.45327274565814807,0.7852477981255535,9.0,0.0,9.0,9.0,0.5423076923076924,0.10868740499827795,0.4073760894623366,0.6772392951530481,0.5166666666666666,0.12360330811826105,0.36321749303289014,0.670115840300443,0.5278181818181819,0.11392335477050841,0.38638633089720015,0.6692500327391635,12.0,0.0,12.0,12.0,0.8028571428571428,0.12864195596486833,0.6431526645712147,0.962561621143071,0.6,0.10458250331675945,0.4701644886789442,0.7298355113210557,0.6737772031889679,0.039314418098345114,0.6249697314398153,0.7225846749381206,8.0,0.0,8.0,8.0,0.5166666666666666,0.5278181818181819,0.45555555555555555,0.5104506604506605
67,inceptiontime,inception_time,HRV,50,10,5.0,2.5,50.0,0.9,model=inceptiontime|resolved_model=inception_time|extra_input=HRV|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,5,5,5,0,0,True,0.6074074074074074,0.07680163464195452,0.5120608705796441,0.7027539442351707,0.09534653682776323,0.5416666666666666,0.7129629629629629,0.6072530803477096,0.06882480687930663,0.5218094955285298,0.6926966651668894,0.08544358481917984,0.5364664384272227,0.6924369747899161,0.6024074074074074,0.0627877463952457,0.524458621526537,0.6803561932882778,0.07794878588087041,0.525,0.6759259259259259,0.6052170340323844,0.060937689706921185,0.529565028669131,0.6808690393956377,0.07565200536325337,0.5230001022846675,0.6618392762971076,0.5775003753472434,0.05744700630460733,0.5061819310484699,0.648818819646017,0.07131844429877353,0.5039130262257944,0.6495573987010066,0.5803440970230495,0.05697381778621561,0.509613099680394,0.6510750943657049,0.07073099734265542,0.5012258779206514,0.6404899033067624,1.342995088361582,0.4981810148433545,0.7245208241080116,1.9614693526151523,0.6184742642535704,1.005245023603789,2.2168104704182707,0.750743426166893,0.04977849288738412,0.6889451724260175,0.8125416799077686,0.061798253740875504,0.6749669718919412,0.8043601032423111,268.83027297165245,31.268913820151834,230.01101271741018,307.64953322589474,38.819260254242266,245.82810847833755,309.4853952014819,15657.0,0.0,15657.0,15657.0,0.0,15657.0,15657.0,40.0,0.0,40.0,40.0,0.0,40.0,40.0,0.6297402597402597,0.06579224994857281,0.5480614880324997,0.7114190314480198,0.6222222222222221,0.23040490392586355,0.3361826117389325,0.9082618327055118,0.6123809523809524,0.14791061834908326,0.4287551052829771,0.7960067994789276,9.0,0.0,9.0,9.0,0.5606060606060606,0.08693326235018818,0.452681463182168,0.668530658029953,0.6,0.06972166887783961,0.5134429924526295,0.6865570075473705,0.5725327812284334,0.034022523428035856,0.5302950111845053,0.6147705512723616,12.0,0.0,12.0,12.0,0.6977777777777778,0.12990975024945797,0.5364993773349946,0.859056178220561,0.6,0.13693063937629152,0.43000541185084745,0.7699945881491526,0.6368455074337428,0.11164180499630964,0.49824612056882145,0.7754448942986641,8.0,0.0,8.0,8.0,0.6,0.5725327812284334,0.44722222222222224,0.5140468227424749
