case_id,changed_values,config_sha256,is_reference,config_id,output_group,catalog_entry,screen_profile_id,rationale,case_directory,resolved_config_path
raw__compact_cnn,"{""study.catalog_entry"": ""compact_cnn"", ""study.screen_profile_id"": ""registered_default_fixed10""}",6a4ba2175c8fede04d024fd2e7f469583cc900370ac0fb2946ac8f58433587a2,True,formal_compact_cnn_line_b_v2__registered_default_fixed10,raw,compact_cnn,registered_default_fixed10,Eight-channel raw CompactCNN baseline using registered defaults.,raw/raw__compact_cnn,raw/raw__compact_cnn/resolved_config.yaml
feature_vector__logistic,"{""study.catalog_entry"": ""logistic_regression"", ""study.screen_profile_id"": ""registered_default_logistic""}",a7f83cce13f1986523b377b0365cf93f3e41e78b64b1289174b922e14987649f,False,formal_logistic_regression_l2_line_b_v2__registered_default_logistic,feature_vector,logistic_regression,registered_default_logistic,Engineered feature-vector Logistic Regression baseline using registered defaults.,feature_vector/feature_vector__logistic,feature_vector/feature_vector__logistic/resolved_config.yaml
feature_matrix__inception_small,"{""study.catalog_entry"": ""inception_matrix_small"", ""study.screen_profile_id"": ""registered_default_matrix_small_fixed10""}",457d23cdfb9214eb587cd5ad11920a4b69c4512c4f22657ea3a7490dbcf1ae76,False,reference_static_feature_matrix_v2_line_b_v2__registered_default_matrix_small_fixed10,feature_matrix,inception_matrix_small,registered_default_matrix_small_fixed10,Chronological 146xvariable-K feature matrix with the registered Small Matrix InceptionTime defaults.,feature_matrix/feature_matrix__inception_small,feature_matrix/feature_matrix__inception_small/resolved_config.yaml
raw__inception_full_configured,"{""model.dropout"": 0.5, ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""configured_64hz_fixed10_b16_lr3e4_do50_wd005_ls20"", ""training.batch_size"": 16, ""training.fixed_epochs"": 10, ""training.label_smoothing"": 0.2, ""training.learning_rate"": 0.0003, ""training.weight_decay"": 0.005, ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",88606fc57695b0350f8068c35134d0f1198dbbc0b8a8e79d4d194819e5df8e95,False,formal_inception_full_line_b_v2__configured_64hz_fixed10_b16_lr3e4_do50_wd005_ls20,raw,inception_full,configured_64hz_fixed10_b16_lr3e4_do50_wd005_ls20,Eight-channel Full InceptionTime with the prespecified tuned training profile.,raw/raw__inception_full_configured,raw/raw__inception_full_configured/resolved_config.yaml
