true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.7333333333333333,0.26666666666666666,0.0
Robust/Non-Frail,0.3333333333333333,0.5666666666666667,0.1
Young,0.025,0.2,0.775
