rank,case_id,cell_count,metric_source,selection_role,balanced_accuracy_mean_sd_percent,macro_f1_percent_mean_sd
1,b16_lr3e-4,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,61.3 ± 16.9,54.4 ± 20.7
2,b32_lr1e-3,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,57.3 ± 18.4,50.5 ± 22.3
3,b16_lr1e-4,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,55.8 ± 15.1,49.3 ± 17.1
4,b32_lr3e-4,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,55.6 ± 15.2,48.4 ± 17.8
5,b16_lr1e-3,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,54.7 ± 15.2,48.8 ± 18.2
6,b32_lr1e-4,25,equal_weight_fold_cell_mean_for_selection,exhaustive_full_grid_selection_evidence_after_completion,54.0 ± 18.2,47.5 ± 19.6
