rank,case_id,cell_count,metric_source,selection_role,balanced_accuracy_mean_sd_percent,macro_f1_percent_mean_sd
1,b16_lr3e-4,25,equal_weight_fold_cell_mean_for_selection,successive_halving_selection_evidence,61.3 ± 16.9,54.4 ± 20.7
2,b32_lr3e-4,25,equal_weight_fold_cell_mean_for_selection,successive_halving_selection_evidence,55.6 ± 15.2,48.4 ± 17.8
3,b16_lr1e-3,25,equal_weight_fold_cell_mean_for_selection,successive_halving_selection_evidence,54.7 ± 15.2,48.8 ± 18.2
