true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.6888888888888889,0.2,0.1111111111111111
Robust/Non-Frail,0.35,0.48333333333333334,0.16666666666666666
Young,0.1,0.375,0.525
