rank,case_id,cell_count,metric_source,selection_role,balanced_accuracy_mean_sd_percent,macro_f1_percent_mean_sd,macro_roc_auc_ovr,macro_pr_auc_ovr,expected_calibration_error,worst_fold_balanced_accuracy,worst_class_f1,balanced_accuracy_lcb95
1,b32_lr1e-3,25,participant_oof_recomputed_equal_repeat_mean,descriptive_sensitivity_not_orchestration_selection,56.1 ± 6.4,55.4 ± 8.1,0.7329691876750701,0.6423911998475618,0.2038387306164191,0.3333333333333333,0.5128205128205128,0.42592592592592593
2,b16_lr1e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_sensitivity_not_orchestration_selection,54.9 ± 4.1,54.6 ± 4.5,0.7303314659197012,0.6470368790314367,0.18205995378697126,0.16666666666666666,0.4778761061946903,0.40092592592592585
3,b32_lr1e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_sensitivity_not_orchestration_selection,51.9 ± 7.2,51.3 ± 6.8,0.7144724556489263,0.61534574108688,0.20002833193395458,0.16666666666666666,0.5042016806722689,0.3814814814814815
