rank,case_id,cell_count,metric_source,selection_role,balanced_accuracy_mean_sd_percent,macro_f1_percent_mean_sd,macro_roc_auc_ovr,macro_pr_auc_ovr,expected_calibration_error,worst_fold_balanced_accuracy,worst_class_f1,balanced_accuracy_lcb95
1,b16_lr3e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,59.5 ± 5.5,59.4 ± 5.6,0.7570494864612511,0.6671282858613441,0.1510165083068288,0.3333333333333333,0.5254237288135594,0.4537037037037037
2,b32_lr1e-3,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,56.1 ± 5.7,55.4 ± 7.2,0.7329691876750701,0.6423911998475618,0.2038387306164191,0.3333333333333333,0.5128205128205128,0.42592592592592593
3,b16_lr1e-3,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,55.2 ± 4.6,55.4 ± 5.7,0.7493152816682228,0.6676824243920505,0.17121542991941996,0.3333333333333333,0.515625,0.4185185185185185
4,b16_lr1e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,54.9 ± 3.7,54.6 ± 4.0,0.7303314659197012,0.6470368790314367,0.18205995378697126,0.16666666666666666,0.4778761061946903,0.40092592592592585
5,b32_lr3e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,54.3 ± 2.7,53.4 ± 3.2,0.7227170868347339,0.6304876010952792,0.20100495090744655,0.3333333333333333,0.5081967213114754,0.41481481481481486
6,b32_lr1e-4,25,participant_oof_recomputed_equal_repeat_mean,descriptive_full_grid_sensitivity_not_orchestration_selection,51.9 ± 6.4,51.3 ± 6.1,0.7144724556489263,0.61534574108688,0.20002833193395458,0.16666666666666666,0.5042016806722689,0.3814814814814815
