dataset,aggregation_level,true_static_predicted_static,true_static_predicted_motion,true_motion_predicted_static,true_motion_predicted_motion
frailty29_outer_oof,file_median_window_probability,141,4,4,107
frailty29_trained_to_ptt22,file_median_window_probability,22,0,19,25
ptt22_outer_oof,file_median_window_probability,22,0,0,44
ptt22_trained_to_frailty29,file_median_window_probability,0,145,0,111
