stage1_regularization_factor,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
sqi_mode,15,2,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6012339544513459,0.5843532826627486,0.5466666666666666,0.5851851851851851,0.6101851851851852,0.5601851851851851,0.5759007959928677,0.6012339544513459,0.5505676375343894,0.5326323224942151,0.5466666666666666,0.5185979783217635,0.048050687449396855,0.07529377762634534,0.020807597272448363,0.46850675603921266,0.4755405548703247,0.46147295720810055,0.6183472519018334,0.6313177900878395,0.6053767137158272
sqi_aggregation,15,2,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6039883573216906,0.5338923664942137,0.5091575091575091,0.6013888888888889,0.6101851851851852,0.5925925925925926,0.59564785713913,0.6039883573216906,0.5873073569565694,0.5339151045033398,0.5586726998491705,0.5091575091575091,0.07197352890287399,0.08249319296854385,0.061453864837204136,0.4715592415444463,0.4797696425192636,0.463348840569629,0.6195804453782175,0.6333660336372205,0.6057948571192145
label_smoothing,10,4,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296297,0.5668447201034359,0.5128000000000001,0.5329436902966315,0.56875,0.5796296296296297,0.5564814814814815,0.5550638137942283,0.5668447201034359,0.5406190687910972,0.503896259313442,0.5329436902966315,0.48508771929824557,0.04345359502697168,0.060220787190774484,0.026474034176844047,0.4738536741163533,0.47496495775028025,0.4711808349170889,0.8485427628080107,1.2162210709827277,0.46845615631762955
combined_regularization,10,12,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296296,0.5686845507433743,0.5101344959317816,0.5243589743589744,0.5530092592592591,0.5796296296296296,0.5222222222222223,0.5380053087242032,0.5686845507433743,0.5083790779099704,0.48280345911547956,0.5243589743589744,0.45533333333333337,0.056419053245369416,0.08657531193410935,0.029716308399780032,0.4748870114271546,0.48525066065747324,0.4668674416549215,0.6234394618128233,0.7925373465211679,0.45095963352107277
aggregation,10,1,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5777777777777777,0.5755028513312267,0.5066383952803699,0.5459523809523809,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5755028513312267,0.5755028513312267,0.5755028513312267,0.5459523809523809,0.5459523809523809,0.5459523809523809,0.05730277202505854,0.05730277202505854,0.05730277202505854,0.47398633311166494,0.47398633311166494,0.47398633311166494,0.6491099590414456,0.6491099590414456,0.6491099590414456
combined_regularization,9,12,s1_033,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5731481481481482,0.5555138722173317,0.519477239131971,0.4730994152046783,0.5366512345679012,0.5731481481481482,0.4898148148148148,0.5312751675728541,0.5555138722173317,0.4890264955946961,0.48247945931208597,0.5184411401802707,0.4556576756576757,0.06609065568450605,0.09191884504319058,0.036541828260502084,0.48084829639483123,0.4999570404481496,0.4653953425542796,0.6235100073644008,0.7819143121048366,0.46085250881624046
max_windows_fraction,15,3,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5731481481481481,0.5627801200409895,0.5030613544157142,0.5101946169772257,0.5577160493827159,0.5731481481481481,0.5416666666666666,0.5432335286579015,0.5627801200409895,0.5320534328795199,0.47476285769838067,0.5101946169772257,0.4428370391218689,0.04795895094888558,0.05645491178340359,0.03473765089315572,0.47113614161566714,0.48461732211836994,0.46162786055252764,0.6345830397592555,0.657029029607372,0.6153256594176432
loss_type,10,2,s1_065,main_effect_loss_type-focal_loss_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossfocal_loss_cwinverse_subject_count_ep10,0.5703703703703703,0.5704112212899398,0.5442207203243207,0.5057142857142857,0.5629629629629629,0.5703703703703703,0.5555555555555556,0.5574495042729664,0.5704112212899398,0.5444877872559929,0.5016723627249943,0.5057142857142857,0.4976304397357028,0.026735475153775314,0.032407407407407406,0.02106354290014322,0.48330644352477337,0.49169285158772136,0.4749200354618253,0.9931625814112991,1.3365673367894284,0.6497578260331698
weight_decay,9,4,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5703703703703703,0.5607222572823596,0.47153637076123783,0.49863354037267077,0.5562499999999999,0.5703703703703703,0.5425925925925925,0.5469103700325938,0.5607222572823596,0.5317860371333247,0.4849551154413854,0.505772297877561,0.4497003378010243,0.07772126326682446,0.08645143819498204,0.059143405269153015,0.4877780677041632,0.49130034456922883,0.4842186953824358,0.6628803424553922,0.6691327189118853,0.6553357307373799
dropout,15,4,s1_090,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5694444444444444,0.5469259559184179,0.5104098018516151,0.45373433583959893,0.5386574074074073,0.5694444444444444,0.5092592592592593,0.5231803056465528,0.5469259559184179,0.4960690338213558,0.45434776552174594,0.4889291101055807,0.42381954887218043,0.049089130915516394,0.05946866934567191,0.03936546605459503,0.4772803725318573,0.4822311921008757,0.4674081997910985,0.6664491575069054,0.6729117838988661,0.6503230095339609
