overfit_rank,rank,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,overfit_stage,overfit_config_id,overfit_config_name,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,dynamic_data_mode,stage2_fixed_epoch,n_repeats,validation_subject_balanced_accuracy_mean,validation_subject_balanced_accuracy_std,validation_subject_balanced_accuracy_ci95_low,validation_subject_balanced_accuracy_ci95_high,validation_subject_balanced_accuracy_min,validation_subject_balanced_accuracy_max,validation_subject_macro_f1_mean,validation_subject_macro_f1_std,validation_subject_macro_f1_ci95_low,validation_subject_macro_f1_ci95_high,validation_subject_macro_f1_min,validation_subject_macro_f1_max,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_balanced_accuracy_ci95_high,subject_balanced_accuracy_min,subject_balanced_accuracy_max,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_ci95_low,subject_macro_f1_ci95_high,subject_macro_f1_min,subject_macro_f1_max,worst_class_recall_mean,worst_class_recall_std,worst_class_recall_ci95_low,worst_class_recall_ci95_high,worst_class_recall_min,worst_class_recall_max,worst_class_f1_mean,worst_class_f1_std,worst_class_f1_ci95_low,worst_class_f1_ci95_high,worst_class_f1_min,worst_class_f1_max,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,best_epoch_min,best_epoch_max,duration_sec_mean,duration_sec_std,duration_sec_ci95_low,duration_sec_ci95_high,duration_sec_min,duration_sec_max,best_epoch_train_balanced_accuracy_mean,best_epoch_train_balanced_accuracy_std,best_epoch_train_balanced_accuracy_ci95_low,best_epoch_train_balanced_accuracy_ci95_high,best_epoch_train_balanced_accuracy_min,best_epoch_train_balanced_accuracy_max,best_epoch_val_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_std,best_epoch_val_balanced_accuracy_ci95_low,best_epoch_val_balanced_accuracy_ci95_high,best_epoch_val_balanced_accuracy_min,best_epoch_val_balanced_accuracy_max,train_val_balanced_accuracy_gap_mean,train_val_balanced_accuracy_gap_std,train_val_balanced_accuracy_gap_ci95_low,train_val_balanced_accuracy_gap_ci95_high,train_val_balanced_accuracy_gap_min,train_val_balanced_accuracy_gap_max,best_epoch_train_loss_mean,best_epoch_train_loss_std,best_epoch_train_loss_ci95_low,best_epoch_train_loss_ci95_high,best_epoch_train_loss_min,best_epoch_train_loss_max,best_epoch_val_loss_mean,best_epoch_val_loss_std,best_epoch_val_loss_ci95_low,best_epoch_val_loss_ci95_high,best_epoch_val_loss_min,best_epoch_val_loss_max,val_train_loss_gap_mean,val_train_loss_gap_std,val_train_loss_gap_ci95_low,val_train_loss_gap_ci95_high,val_train_loss_gap_min,val_train_loss_gap_max
1,2,inceptiontime,inception_time,0,50,20,5.0,2.5,50.0,0.9,reference,ref_original,original_rank_parameters_static_only,0.001,0.0001,-1.0,0.0,static_only,0,5,0.7231481481481482,0.03809259709393377,0.6758575243402813,0.7704387719560151,0.6712962962962963,0.7546296296296297,0.7154938225402622,0.03623412220612194,0.6705104301495431,0.7604772149309812,0.6650326797385621,0.7630769230769231,0.7231481481481482,0.03809259709393377,0.6758575243402813,0.7704387719560151,0.6712962962962963,0.7546296296296297,0.7154938225402622,0.03623412220612194,0.6705104301495431,0.7604772149309812,0.6650326797385621,0.7630769230769231,0.586111111111111,0.06394924685122964,0.5067203631350558,0.6655018590871663,0.5,0.6666666666666666,0.6466315789473684,0.05060672208411141,0.583805107695554,0.7094580501991828,0.5833333333333334,0.72,13.319999999999999,5.220344816197489,6.83912493019654,19.800875069803457,6.4,18.6,391.03929148763416,55.06424895487857,322.678956901716,459.3996260735523,321.3629665961489,465.3280202038586,0.9879544787538656,0.006437654666069507,0.9799623561829807,0.9959466013247504,0.9796760448970462,0.9942017867826115,0.6336231225580758,0.025078013641231654,0.6024896478298615,0.6647565972862902,0.6049471277617037,0.6615805124972561,0.35433135619578976,0.02586386242512405,0.32222227775336076,0.38644043463821875,0.32477220231350556,0.3747289171353425,0.03566305257625822,0.01859665888018787,0.012575952554762397,0.05875015259775405,0.016827641760793623,0.0600078432401069,2.4276976149858154,0.20885341078135938,2.1684134276699547,2.686981802301676,2.145303254254237,2.6650751751598363,2.392034562409557,0.2235809188209019,2.1144666901927196,2.6696024346263942,2.0964911797671135,2.6454097789685336
2,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_006,from-s1_005_lr0.001_ep10_mw90_train_all_roles,0.001,0.0005,0.2,0.1,train_all_roles,10,5,0.6203703703703703,0.06322453835068359,0.5418793225902658,0.6988614181504749,0.5370370370370371,0.6805555555555555,0.6238084770777712,0.07622856879527685,0.5291733814076046,0.7184435727479378,0.5271601463551928,0.7008547008547009,0.6203703703703703,0.06322453835068359,0.5418793225902658,0.6988614181504749,0.5370370370370371,0.6805555555555555,0.6238084770777712,0.07622856879527685,0.5291733814076046,0.7184435727479378,0.5271601463551928,0.7008547008547009,0.4805555555555555,0.08762116830881947,0.37177694700124303,0.5893341641098679,0.4166666666666667,0.625,0.5194674433118369,0.09455867836764141,0.4020761592409137,0.6368587273827602,0.42105263157894735,0.6666666666666666,10.0,0.0,10.0,10.0,10.0,10.0,136.42965549770742,3.2989574443389795,132.33411548835372,140.5251955070611,133.89619206637144,140.9583307923749,0.9953078040755878,0.0004850467157049527,0.9947056355832407,0.995909972567935,0.9946897142975313,0.9958952307412572,0.5619575057945377,0.020191337428657,0.5368906682627806,0.5870243433262948,0.5421159859063853,0.5869520705036797,0.43335029828105,0.02006031582179024,0.4084461194807456,0.45825447708135436,0.4084082609131263,0.4528560953063343,0.32425775288823,0.0007668029795019462,0.3233057938724413,0.3252097119040187,0.32341715493351453,0.32539841693172106,1.2295380124975595,0.08619959115795398,1.1225242421371264,1.3365517828579925,1.1196701416882202,1.3199166355878216,0.9052802596093293,0.08569808046929456,0.798889097186458,1.0116714220322007,0.7955004346453898,0.9945182186561006
3,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_005,from-s1_005_lr0.001_ep10_mw90_static_only,0.001,0.0005,0.2,0.1,static_only,10,5,0.5925925925925927,0.08105158055560922,0.4919698969114224,0.6932152882737629,0.49074074074074076,0.6851851851851851,0.6040999053692552,0.0863825740510315,0.496858968162244,0.7113408425762664,0.4992481203007519,0.6972222222222223,0.5925925925925927,0.08105158055560922,0.4919698969114224,0.6932152882737629,0.49074074074074076,0.6851851851851851,0.6040999053692552,0.0863825740510315,0.496858968162244,0.7113408425762664,0.4992481203007519,0.6972222222222223,0.4833333333333334,0.10318986456114841,0.3552267342029969,0.6114399324636699,0.3333333333333333,0.5555555555555556,0.5087581699346406,0.1137303380568416,0.36756594249672414,0.6499503973725571,0.375,0.625,10.0,0.0,10.0,10.0,10.0,10.0,134.41589156799017,6.523162896838757,126.31761352642911,142.51416960955123,128.17094140406698,143.2946112388745,0.9971496218022917,0.0002740247159416986,0.9968094297244531,0.9974898138801304,0.9967649239761368,0.9974748179623507,0.5524859791040461,0.022354369349995656,0.5247338132754499,0.5802381449326423,0.5250188355107108,0.5824511963763868,0.44466364269824565,0.02230312541297953,0.4169750944208993,0.472352190975592,0.4146517257272241,0.4720446156685527,0.3182902182334313,0.0007515482396467152,0.3173571974423585,0.31922323902450406,0.31722657107014085,0.3193458543789066,1.220733096030548,0.06419055851062654,1.141042768089471,1.300423423971625,1.172078235740353,1.3189740513173336,0.9024428777971168,0.06449296133438963,0.8223771273522459,0.9825086282419878,0.8527323813614464,1.0006125782983668
4,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_004,from-s1_003_lr0.0005_ep10_mw90_train_all_roles,0.0005,0.001,0.2,0.05,train_all_roles,10,5,0.5824074074074075,0.06623768876473857,0.5001756390259691,0.6646391757888459,0.4953703703703704,0.6666666666666666,0.586048559478842,0.07176326520278246,0.49695698167016034,0.6751401372875238,0.4870327993897788,0.6761195793453858,0.5824074074074075,0.06623768876473857,0.5001756390259691,0.6646391757888459,0.4953703703703704,0.6666666666666666,0.586048559478842,0.07176326520278246,0.49695698167016034,0.6751401372875238,0.4870327993897788,0.6761195793453858,0.43888888888888894,0.09086348463220073,0.3260850582911168,0.5516927194866611,0.3333333333333333,0.5833333333333334,0.4762909520147372,0.04861370921131427,0.41593873637167716,0.5366431676577972,0.43478260869565216,0.56,10.0,0.0,10.0,10.0,10.0,10.0,147.5434358878061,6.503907442829252,139.46906281732296,155.61780895828926,138.49266433063895,154.64937861729413,0.9958710689685581,0.00037874065699482494,0.9954008757211269,0.9963412622159894,0.9953215249206089,0.9962987019534868,0.5426394987149352,0.023845623021883065,0.5130359937343923,0.5722430036954781,0.5043532384535598,0.566326711154141,0.453231570253623,0.02353622377285691,0.4240121735935512,0.48245096691369477,0.4298124805801933,0.49096828646704904,0.20004971940474175,0.0009631226664992131,0.19885403638029664,0.20124540242918687,0.19883427805475323,0.20133047823848443,1.392642786600732,0.12215451460167892,1.2409922393246966,1.5442933338767675,1.2615198538952914,1.5336232018183622,1.1925930671959903,0.12253990207579168,1.040464074882102,1.3447220595098788,1.0609234285931317,1.334788923763609
5,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_008,from-s1_005_lr0.0005_ep10_mw90_train_all_roles,0.0005,0.0005,0.2,0.1,train_all_roles,10,5,0.5824074074074075,0.07069855247711511,0.4946376331199932,0.6701771816948218,0.5185185185185185,0.6759259259259259,0.5834820865409099,0.08049143326173835,0.48355479408693686,0.6834093789948831,0.5015151515151515,0.6863247863247862,0.5824074074074075,0.07069855247711511,0.4946376331199932,0.6701771816948218,0.5185185185185185,0.6759259259259259,0.5834820865409099,0.08049143326173835,0.48355479408693686,0.6834093789948831,0.5015151515151515,0.6863247863247862,0.3888888888888889,0.09820927516479827,0.2669655168801747,0.5108122608976031,0.25,0.5,0.46238095238095245,0.13485946325687334,0.29495765677091745,0.6298042479909874,0.3,0.6666666666666666,10.0,0.0,10.0,10.0,10.0,10.0,136.06189383845776,0.9363874392538075,134.8994016613304,137.22438601558514,135.40828291419894,137.68740571010858,0.9962431063213056,0.00036334530737129367,0.9957920258606882,0.9966941867819231,0.9958733286371182,0.996729057702454,0.5537310483257123,0.020387970419540623,0.528420097829508,0.5790419988219165,0.5342321220904311,0.5827322375394047,0.4425120579955933,0.02067972424212828,0.41683890535721224,0.46818521063397434,0.41314109109771346,0.4622612551710944,0.3226538375421554,0.0006179020304514227,0.32188673383431055,0.3234209412500002,0.32181778990160614,0.32351448312519443,1.2710701030580682,0.12179566533464577,1.1198650545661968,1.4222751515499397,1.1311154219557187,1.4649355764286536,0.948416265515913,0.12238616186170201,0.7964781362878552,1.1003543947439707,0.8076009388305243,1.1431177865270474
6,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_002,from-s1_003_lr0.001_ep10_mw90_train_all_roles,0.001,0.001,0.2,0.05,train_all_roles,10,5,0.575925925925926,0.019256142910264288,0.5520200996018697,0.5998317522499822,0.5555555555555555,0.6018518518518519,0.5827834234851836,0.026345196552618244,0.5500767855985118,0.6154900613718555,0.5571428571428572,0.6251972053189091,0.575925925925926,0.019256142910264288,0.5520200996018697,0.5998317522499822,0.5555555555555555,0.6018518518518519,0.5827834234851836,0.026345196552618244,0.5500767855985118,0.6154900613718555,0.5571428571428572,0.6251972053189091,0.43888888888888894,0.13088021099321942,0.27640569545600446,0.6013720823217734,0.2222222222222222,0.5555555555555556,0.4768101179865886,0.11849843542379844,0.3296984648318064,0.6239217711413708,0.2857142857142857,0.5882352941176471,10.0,0.0,10.0,10.0,10.0,10.0,137.3261889077723,6.012537213413616,129.8618347502128,144.79054306533178,133.32236758060753,147.85820597130805,0.9948051732260421,0.0004847728346689641,0.9942033447473991,0.9954070017046851,0.9940937144854856,0.9954371887452798,0.5512538488023424,0.01625099816938175,0.5310788043170466,0.5714288932876382,0.5401970826128923,0.5798859369858782,0.44355132442369954,0.01631296145216541,0.42329935469519187,0.4638032941522072,0.4149343505108398,0.4552401061323874,0.20251781722445844,0.0013526684919906633,0.20083852671471075,0.20419710773420613,0.2010277311803658,0.20454984618211966,1.4175304800675748,0.16604092483291732,1.2113964930983787,1.6236644670367708,1.2562692281991075,1.6806928749878913,1.2150126628431164,0.16668044748771876,1.00808473091894,1.4219405947672927,1.0531809135378627,1.4786192042989914
7,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_001,from-s1_003_lr0.001_ep10_mw90_static_only,0.001,0.001,0.2,0.05,static_only,10,5,0.5694444444444444,0.04009376869372399,0.5196694362542973,0.6192194526345915,0.5277777777777778,0.625,0.5764564597781814,0.04108565289747648,0.5254500621234368,0.627462857432926,0.5288461538461539,0.6325396825396825,0.5694444444444444,0.04009376869372399,0.5196694362542973,0.6192194526345915,0.5277777777777778,0.625,0.5764564597781814,0.04108565289747648,0.5254500621234368,0.627462857432926,0.5288461538461539,0.6325396825396825,0.4444444444444445,0.09001028747788697,0.33269982820160593,0.556189060687283,0.3333333333333333,0.5833333333333334,0.47274083546462065,0.07741526693790547,0.3766324956547028,0.5688491752745385,0.375,0.5833333333333334,10.0,0.0,10.0,10.0,10.0,10.0,140.13784040864556,1.1145140646745537,138.75421027098045,141.52147054631067,138.94101087842137,141.64460519049317,0.99680093526105,0.00018461240810353663,0.9965717454286959,0.997030125093404,0.99652583386979,0.9970374543759448,0.547547377550057,0.02537387023205977,0.5160466072367339,0.5790481478633801,0.5091599129174605,0.5686724304830937,0.44925355771099296,0.02536681154847711,0.41776155050586805,0.48074556491611786,0.42826158354612764,0.4876011580221714,0.19579193736442793,0.000715799120494512,0.19490329785145813,0.19668057687739773,0.1948180045625838,0.1965857614918574,1.3136541478089234,0.07877788963670007,1.2158541596904942,1.4114541359273527,1.2411481398583928,1.4056316204021269,1.1178622104444957,0.0791224255716988,1.0196344930418137,1.2160899278471777,1.0457525326647603,1.2098230820978868
8,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_003,from-s1_003_lr0.0005_ep10_mw90_static_only,0.0005,0.001,0.2,0.05,static_only,10,5,0.5648148148148148,0.045478895149047446,0.508354360926951,0.6212752687026786,0.4953703703703704,0.6203703703703703,0.5731864234803168,0.05519758092210219,0.5046605619315616,0.641712285029072,0.4869754665151085,0.6308641975308642,0.5648148148148148,0.045478895149047446,0.508354360926951,0.6212752687026786,0.4953703703703704,0.6203703703703703,0.5731864234803168,0.05519758092210219,0.5046605619315616,0.641712285029072,0.4869754665151085,0.6308641975308642,0.4611111111111111,0.037267799624996496,0.4148444444444444,0.5073777777777777,0.4166666666666667,0.5,0.4980676328502415,0.04278158969587128,0.4449557891179551,0.551179476582528,0.43478260869565216,0.5555555555555556,10.0,0.0,10.0,10.0,10.0,10.0,130.96552210394293,2.6212584208305896,127.71132167289794,134.2197225349879,128.7360173854977,135.2500665942207,0.997292113497093,0.00035373700684327824,0.9968529614047247,0.9977312655894613,0.9968619304954833,0.9977810436903886,0.5328597381372072,0.03093803369346597,0.49445125395995476,0.5712682223144596,0.5088677655749045,0.5759243085279658,0.4644323753598858,0.030636290266381396,0.4263984950685686,0.502466255651203,0.4218567351624227,0.4879941649205788,0.19420396224960118,0.0012204679733130487,0.19268879404898803,0.19571913045021433,0.1922806180090229,0.1954219454246723,1.3442387773886566,0.09654292654787708,1.2243841187675137,1.4640934360097995,1.1791902645782488,1.4181132349033043,1.1500348151390554,0.09669593709917727,1.0299901992828537,1.270079430995257,0.984201573834544,1.222691289478632
9,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage2,s2_007,from-s1_005_lr0.0005_ep10_mw90_static_only,0.0005,0.0005,0.2,0.1,static_only,10,5,0.5518518518518519,0.07610074724428498,0.45737544215595977,0.646328261547744,0.4583333333333333,0.6435185185185185,0.5564898291550383,0.06655739323835957,0.473861158878084,0.6391184994319926,0.47886119257086995,0.6287094547964114,0.5518518518518519,0.07610074724428498,0.45737544215595977,0.646328261547744,0.4583333333333333,0.6435185185185185,0.5564898291550383,0.06655739323835957,0.473861158878084,0.6391184994319926,0.47886119257086995,0.6287094547964114,0.45,0.0842541716005728,0.3454013998158014,0.5545986001841986,0.3333333333333333,0.5555555555555556,0.4801928463693169,0.07664044920625297,0.3850464156089944,0.5753392771296395,0.375,0.5882352941176471,10.0,0.0,10.0,10.0,10.0,10.0,133.88487463686616,1.8780190165237014,131.5533798691181,136.21636940461423,131.5360656734556,135.6383106969297,0.9978720414651996,0.0003908295522441245,0.9973868402781396,0.9983572426522596,0.9974370501608881,0.9983263400290001,0.525972447258152,0.03914986237904784,0.4773692656653656,0.5745756288509383,0.4682699395779917,0.5773943431649903,0.4718995942070478,0.03938244616654552,0.423007667996213,0.5207915204178826,0.42004270699589785,0.529851215877111,0.31662428924464436,0.0011569741090619783,0.3151879464504744,0.31806063203881435,0.3154291823391483,0.31808044354947784,1.2606170587800836,0.08448123579219399,1.1557365663626062,1.3654975511975609,1.1418722416573055,1.3546281043589203,0.9439927695354392,0.0845134765871376,0.839072251301366,1.0489132877695124,0.8242457564963541,1.0365476608094424
