model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
small_inceptiontime,1,1,1.097944935162862,0.39451058201058203,1.1090919208056822,0.3147324625325562
small_inceptiontime,1,2,0.9892253826061884,0.5687830687830688,1.0626239389034327,0.3812864831708122
small_inceptiontime,1,3,0.9478250940640768,0.6355820105820106,1.0790161229119513,0.5201351008983485
small_inceptiontime,1,4,0.8675505916277567,0.7218915343915344,1.275337239791607,0.41128990998545034
small_inceptiontime,1,5,0.8385596722364426,0.7658730158730158,1.2172843000571716,0.5684617934665648
small_inceptiontime,1,6,0.8379383931557337,0.7645502645502645,1.413197636604309,0.46324180378049135
small_inceptiontime,1,7,0.8115212072928747,0.8118386243386243,1.116245945392571,0.3949211573265348
small_inceptiontime,1,8,0.817396546403567,0.7638888888888888,1.0885592164664433,0.52685255783084
small_inceptiontime,1,9,0.7844807157913843,0.8078703703703703,1.2444354621647613,0.5095475176925915
small_inceptiontime,1,10,0.7645373195409775,0.8012566137566138,1.0740782327839893,0.5491777483958553
small_inceptiontime,2,1,1.120532403389613,0.40148809523809526,1.114050599129985,0.4101724743009203
small_inceptiontime,2,2,1.0345312555631,0.5331349206349206,1.1012279737874004,0.34297712369210887
small_inceptiontime,2,3,0.9708420137564341,0.6033730158730158,1.0528511456559828,0.43831751449816075
small_inceptiontime,2,4,0.9134225298961004,0.6479166666666667,1.0964883197450885,0.42051619864325823
small_inceptiontime,2,5,0.8979746202627817,0.6907738095238095,1.154447318982072,0.32655175416622284
small_inceptiontime,2,6,0.8403784135977427,0.7512896825396825,1.214931718365055,0.34248366699311944
small_inceptiontime,2,7,0.846387912829717,0.7226190476190476,0.9935499875234267,0.5944425099736966
small_inceptiontime,2,8,0.8011469195286433,0.7659722222222222,1.0984264863481292,0.4392483412067651
small_inceptiontime,2,9,0.8481462101141611,0.746031746031746,1.075829529609202,0.536502762429166
small_inceptiontime,2,10,0.7944131046533585,0.7915674603174603,1.156553925231705,0.42355438865119704
small_inceptiontime,3,1,1.115179255604744,0.38715277777777773,1.1229855982557029,0.23653522471954092
small_inceptiontime,3,2,0.992225800951322,0.5653935185185185,1.1429629319154884,0.34231526495846937
small_inceptiontime,3,3,0.8935516675313314,0.7071759259259259,1.1720671028057261,0.32983845714240984
small_inceptiontime,3,4,0.8763449788093567,0.7071759259259259,1.3035535944376955,0.4165169449728739
small_inceptiontime,3,5,0.8604130645593008,0.7132523148148148,1.2465890426541777,0.38988918637513015
small_inceptiontime,3,6,0.798154334227244,0.8029513888888888,1.3444402901910788,0.43054616125319994
small_inceptiontime,3,7,0.8035034686326981,0.8064236111111112,1.413880490104519,0.38284130674745764
small_inceptiontime,3,8,0.7979869494835535,0.7850115740740741,1.4340847003896198,0.39424050979747455
small_inceptiontime,3,9,0.7490945756435394,0.820023148148148,1.317688791461762,0.33539596984428943
small_inceptiontime,3,10,0.7136053740978241,0.8912037037037037,1.514772038609675,0.3911446957420324
small_inceptiontime,4,1,1.0893861105044682,0.41904761904761906,1.0989325212792311,0.45555555555555555
small_inceptiontime,4,2,0.9797403067350388,0.5737103174603174,1.0940836777255991,0.4397048914471054
small_inceptiontime,4,3,0.9293497502803802,0.6461309523809523,1.0620561087068972,0.43231518598462787
small_inceptiontime,4,4,0.903620108962059,0.6948412698412699,1.0445687544268614,0.5635882413403227
small_inceptiontime,4,5,0.9059098263581594,0.6744047619047618,1.0595159181214084,0.5577360354495723
small_inceptiontime,4,6,0.8787907163302103,0.7115079365079365,1.076701251123835,0.5432538458902937
small_inceptiontime,4,7,0.8480783005555471,0.7402777777777777,1.015007504413467,0.47399841253526115
small_inceptiontime,4,8,0.8245880802472433,0.7811507936507937,1.0274916538961212,0.58766345747536
small_inceptiontime,4,9,0.8253277639547983,0.7678571428571429,0.9912698081120117,0.6166960747364695
small_inceptiontime,4,10,0.8227213869492213,0.7577380952380953,1.0910630948710538,0.4705311154509428
small_inceptiontime,5,1,1.0981721828381221,0.45654761904761904,1.1125076498808684,0.2722222222222222
small_inceptiontime,5,2,0.9572309950987498,0.59375,1.10146944893731,0.39413580246913577
small_inceptiontime,5,3,0.9255971958239874,0.6571428571428571,1.1847968928019206,0.29104938271604935
small_inceptiontime,5,4,0.9109107305606207,0.6663690476190475,1.2606753930339107,0.483641975308642
small_inceptiontime,5,5,0.8396835724512736,0.7226190476190476,1.1770937956704033,0.3209876543209877
small_inceptiontime,5,6,0.8707733998696009,0.7041666666666666,1.3567938345449941,0.3135802469135803
small_inceptiontime,5,7,0.8591777086257935,0.7434523809523811,1.1483972598888257,0.46759259259259256
small_inceptiontime,5,8,0.8392735421657562,0.7333333333333333,1.125637533046581,0.30679012345679013
small_inceptiontime,5,9,0.7828606565793356,0.7922619047619047,1.1629538317079897,0.43611111111111106
small_inceptiontime,5,10,0.8191524744033813,0.7660714285714286,1.2610587370837176,0.31203703703703706
