true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.6222222222222222,0.3333333333333333,0.044444444444444446
Robust/Non-Frail,0.21666666666666667,0.65,0.13333333333333333
Young,0.1,0.325,0.575
