worst_class_f1_stability_rank,predictive_rank,case_id,abstention_aware_worst_class_f1,abstention_aware_worst_class_recall,worst_class_f1,worst_class_recall,participant_abstention_aware_balanced_accuracy_mean_sd,participant_balanced_accuracy_mean_sd,balanced_accuracy_lcb95
1,1,b32_lr1e-3,0.5128205128205129,0.45,0.5128205128205128,0.45,56.1 ± 5.7,56.1 ± 5.7,0.42592592592592593
2,3,b32_lr1e-4,0.5042016806722689,0.5,0.5042016806722689,0.5,51.9 ± 6.4,51.9 ± 6.4,0.3814814814814815
3,2,b16_lr1e-4,0.47787610619469023,0.45,0.4778761061946903,0.45,54.9 ± 3.7,54.9 ± 3.7,0.40092592592592585
