case_id,class_order,confusion_matrix,metric_source
b16_lr1e-4,"[0, 1, 2]","[[28, 15, 2], [22, 27, 11], [6, 11, 23]]",participant_oof_pooled_repeats
b32_lr1e-4,"[0, 1, 2]","[[25, 16, 4], [17, 30, 13], [7, 13, 20]]",participant_oof_pooled_repeats
b32_lr1e-3,"[0, 1, 2]","[[33, 11, 1], [23, 30, 7], [6, 16, 18]]",participant_oof_pooled_repeats
