case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
b16_lr1e-4,0,0,Pre-Frail,0.5454545454545454,0.6666666666666666,0.75,0.7083333333333333,0.6,0.8055555555555556,0.5874439887597782,9,participant_oof_per_repeat
b16_lr1e-4,0,1,Robust/Non-Frail,0.5,0.4166666666666667,0.7058823529411765,0.5612745098039216,0.45454545454545453,0.5882352941176471,0.6206631161236426,12,participant_oof_per_repeat
b16_lr1e-4,0,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.8273809523809523,0.7494306418219462,8,participant_oof_per_repeat
b16_lr1e-4,1,0,Pre-Frail,0.46153846153846156,0.6666666666666666,0.65,0.6583333333333333,0.5454545454545454,0.8166666666666667,0.6623643331976665,9,participant_oof_per_repeat
b16_lr1e-4,1,1,Robust/Non-Frail,0.5454545454545454,0.5,0.7058823529411765,0.6029411764705883,0.5217391304347826,0.6470588235294118,0.6203067765567766,12,participant_oof_per_repeat
b16_lr1e-4,1,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.7976190476190477,0.6967155103668261,8,participant_oof_per_repeat
b16_lr1e-4,2,0,Pre-Frail,0.5384615384615384,0.7777777777777778,0.7,0.7388888888888889,0.6363636363636364,0.7888888888888889,0.6590113590113589,9,participant_oof_per_repeat
b16_lr1e-4,2,1,Robust/Non-Frail,0.6666666666666666,0.3333333333333333,0.8823529411764706,0.6078431372549019,0.4444444444444444,0.5833333333333333,0.6017277466542174,12,participant_oof_per_repeat
b16_lr1e-4,2,2,Young,0.4,0.5,0.7142857142857143,0.6071428571428572,0.4444444444444444,0.6964285714285715,0.5302212407475566,8,participant_oof_per_repeat
b16_lr1e-4,3,0,Pre-Frail,0.375,0.3333333333333333,0.75,0.5416666666666666,0.35294117647058826,0.7388888888888889,0.6019605193518237,9,participant_oof_per_repeat
b16_lr1e-4,3,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.6568627450980392,0.6799140211640212,12,participant_oof_per_repeat
