case_id,parameter_count,inference_cost,operational_measurements_complete,reported_eligible,reported_exclusion_reason,deployment_readiness
b16_lr1e-4,,"{""participant_probability_latency_ms"": null}",False,False,parameter_count_and_inference_cost_not_measured,N/A_pending_hardware_evidence_V2_026
b32_lr1e-4,,"{""participant_probability_latency_ms"": null}",False,False,parameter_count_and_inference_cost_not_measured,N/A_pending_hardware_evidence_V2_026
b32_lr1e-3,,"{""participant_probability_latency_ms"": null}",False,False,parameter_count_and_inference_cost_not_measured,N/A_pending_hardware_evidence_V2_026
