case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source,expected_calibration_error
b16_lr1e-4,0,0.5601851851851852,0.5601851851851852,0.7545129162776222,0.6862838170507253,0.5,0.5,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.20276613224296042
b16_lr1e-4,1,0.5,0.49117549117549125,0.7564192343604109,0.6665036359903322,0.25,0.36363636363636365,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.22424389924039587
b16_lr1e-4,2,0.4351851851851852,0.41818181818181815,0.7154450669156551,0.6351104277558695,0.25,0.3,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3451607694897882
b16_lr1e-4,3,0.4861111111111111,0.4937154348919055,0.7335045129162777,0.6913936525115313,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2489438804462101
b16_lr1e-4,4,0.5231481481481481,0.5329311211664153,0.717802676626206,0.6396747345139158,0.4444444444444444,0.46153846153846156,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2625644090764844
b16_lr1e-4,0,0.5694444444444444,0.5598484848484848,0.7403906006847184,0.6525125822351223,0.4166666666666667,0.45454545454545453,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.22686807081590052
b16_lr1e-4,1,0.5555555555555555,0.5608594304246478,0.753781512605042,0.6597955400404231,0.5,0.5217391304347826,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.21469862522111902
b16_lr1e-4,2,0.5370370370370371,0.5084175084175084,0.6895502645502646,0.596986782137711,0.3333333333333333,0.4444444444444444,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.2218790041511052
b16_lr1e-4,3,0.4861111111111111,0.4937154348919055,0.7390600684718333,0.6959509337951367,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.29794119407553055
b16_lr1e-4,4,0.5972222222222222,0.6047619047619048,0.728874883286648,0.6299385569487909,0.5,0.5,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.23378677792130365
b32_lr1e-3,0,0.49074074074074076,0.49210526315789477,0.7368191721132898,0.6782289580596359,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2791976040407166
b32_lr1e-3,1,0.5277777777777778,0.47676767676767673,0.6940476190476191,0.6032917869581526,0.25,0.36363636363636365,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3444876758427372
b32_lr1e-3,2,0.5416666666666666,0.5383040935672514,0.7120214752567694,0.6013040368230426,0.375,0.4,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2334254225272362
b32_lr1e-3,3,0.611111111111111,0.6273504273504273,0.7578509181450358,0.7004605854687554,0.5,0.6,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.16966263176998786
b32_lr1e-3,4,0.625,0.6352882205513785,0.7866013071895425,0.6957951236683654,0.5833333333333334,0.56,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.20333757693892102
b32_lr1e-3,0,0.5370370370370371,0.5168831168831168,0.7282135076252724,0.6754552682248761,0.3333333333333333,0.38095238095238093,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.2580131861872474
b32_lr1e-3,1,0.4907407407407407,0.45332445332445337,0.7255991285403051,0.622406876090451,0.25,0.36363636363636365,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.311899819952168
b32_lr1e-3,2,0.5416666666666666,0.5373015873015873,0.697416744475568,0.5577552669642042,0.375,0.42857142857142855,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.20028393815954004
b32_lr1e-3,3,0.5740740740740741,0.595191682910981,0.7447089947089948,0.682756955258465,0.5,0.5263157894736842,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.20069647565961873
b32_lr1e-3,4,0.6620370370370371,0.6658730158730158,0.76890756302521,0.6735816326998125,0.5833333333333334,0.5833333333333334,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.1709497765465071
b32_lr1e-4,0,0.5740740740740741,0.5526315789473684,0.7420868347338936,0.6428125390528671,0.4166666666666667,0.5,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2504385012005874
b32_lr1e-4,1,0.5694444444444444,0.5717948717948719,0.6889589169000933,0.5649671119055364,0.375,0.5,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2573866513775953
b32_lr1e-4,2,0.5416666666666666,0.5384248665141114,0.7288593215063804,0.645541173831615,0.375,0.375,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2692717629400177
b32_lr1e-4,3,0.5231481481481481,0.5227450980392158,0.7051276065981948,0.6176602934851391,0.4444444444444444,0.48,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.19881954271262842
b32_lr1e-4,4,0.5509259259259259,0.5617283950617283,0.7144957983193277,0.6222194037615864,0.4444444444444444,0.5,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.248297958356053
b32_lr1e-4,0,0.5416666666666666,0.5182474903837133,0.7275521319638968,0.6176307955598136,0.3333333333333333,0.42105263157894735,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.20934238989371085
b32_lr1e-4,1,0.6064814814814815,0.6022222222222222,0.723428260192966,0.6197522095621512,0.375,0.5,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.1863799525693824
b32_lr1e-4,2,0.5138888888888888,0.5099915564311849,0.714433551198257,0.6150765398212293,0.375,0.35294117647058826,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.22035987587646028
b32_lr1e-4,3,0.5231481481481481,0.5231481481481481,0.7037581699346406,0.6259665354393597,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.19547361041281236
b32_lr1e-4,4,0.40740740740740744,0.41094690749863166,0.7031901649548709,0.5983026250518464,0.2222222222222222,0.2857142857142857,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.30388607227565817
