classifier_id,prediction_score_status,roc_auc_curve_status,prediction_tsne_status,prediction_row_count,roc_curve_point_count,tsne_point_count
b16_lr1e-4,available,available,available,145,369,145
b32_lr1e-4,available,available,available,145,375,145
b32_lr1e-3,available,available,available,145,380,145
