case_id,bin_index,bin_left,bin_right,count,fraction,mean_confidence,accuracy
b16_lr1e-4,0,0.0,0.1,0,0.0,,
b16_lr1e-4,1,0.1,0.2,0,0.0,,
b16_lr1e-4,2,0.2,0.30000000000000004,0,0.0,,
b16_lr1e-4,3,0.30000000000000004,0.4,0,0.0,,
b16_lr1e-4,4,0.4,0.5,11,0.07586206896551724,0.4711184553088483,0.45454545454545453
b16_lr1e-4,5,0.5,0.6000000000000001,29,0.2,0.5501594172514048,0.3793103448275862
b16_lr1e-4,6,0.6000000000000001,0.7000000000000001,27,0.18620689655172415,0.6536048726040554,0.4074074074074074
b16_lr1e-4,7,0.7000000000000001,0.8,28,0.19310344827586207,0.7422194393692917,0.5714285714285714
b16_lr1e-4,8,0.8,0.9,27,0.18620689655172415,0.8476815744248692,0.5925925925925926
b16_lr1e-4,9,0.9,1.0,23,0.15862068965517243,0.9541256007957223,0.8260869565217391
b32_lr1e-4,0,0.0,0.1,0,0.0,,
b32_lr1e-4,1,0.1,0.2,0,0.0,,
b32_lr1e-4,2,0.2,0.30000000000000004,0,0.0,,
b32_lr1e-4,3,0.30000000000000004,0.4,0,0.0,,
b32_lr1e-4,4,0.4,0.5,11,0.07586206896551724,0.4764421691457251,0.2727272727272727
b32_lr1e-4,5,0.5,0.6000000000000001,26,0.1793103448275862,0.5425075898902603,0.38461538461538464
b32_lr1e-4,6,0.6000000000000001,0.7000000000000001,37,0.25517241379310346,0.6446124430738243,0.5135135135135135
b32_lr1e-4,7,0.7000000000000001,0.8,19,0.1310344827586207,0.7410373739109766,0.5789473684210527
b32_lr1e-4,8,0.8,0.9,24,0.16551724137931034,0.8470312803017007,0.4583333333333333
b32_lr1e-4,9,0.9,1.0,28,0.19310344827586207,0.9428187752640288,0.75
b32_lr1e-3,0,0.0,0.1,0,0.0,,
b32_lr1e-3,1,0.1,0.2,0,0.0,,
b32_lr1e-3,2,0.2,0.30000000000000004,0,0.0,,
b32_lr1e-3,3,0.30000000000000004,0.4,2,0.013793103448275862,0.3633042618838323,1.0
b32_lr1e-3,4,0.4,0.5,8,0.05517241379310345,0.4790193848988244,0.375
b32_lr1e-3,5,0.5,0.6000000000000001,24,0.16551724137931034,0.5546568665609287,0.4166666666666667
b32_lr1e-3,6,0.6000000000000001,0.7000000000000001,24,0.16551724137931034,0.6556738443241293,0.375
b32_lr1e-3,7,0.7000000000000001,0.8,27,0.18620689655172415,0.7489527652368375,0.6296296296296297
b32_lr1e-3,8,0.8,0.9,30,0.20689655172413793,0.8578165675647049,0.6
b32_lr1e-3,9,0.9,1.0,30,0.20689655172413793,0.9482303544793561,0.7333333333333333
