algorithm_or_reducer,activity_group,channel,participant_count,segment_count,participant_macro_f1_mean_sd,participant_macro_sensitivity_mean_sd,participant_macro_positive_predictive_value_mean_sd,participant_macro_ibi_ppi_rmse_ms_mean_sd,total_runtime_s
aboy_project_v1,static,IR,22,198,96.8 ± 7.9,96.6 ± 10.9,98.0 ± 5.4,24.8 ± 20.5,3.819918212975608
aboy_project_v1,static,RED,22,198,95.6 ± 7.8,96.4 ± 10.2,96.0 ± 7.7,35.1 ± 37.6,3.8481006002693903
aboy_project_v2,static,IR,22,198,95.8 ± 7.8,95.1 ± 11.1,97.6 ± 3.7,39.9 ± 16.9,3.8827220770181157
aboy_project_v2,static,RED,22,198,93.2 ± 9.5,93.0 ± 11.7,94.5 ± 8.2,50.6 ± 26.8,3.837244098132942
msptdfast_v2_3_python_port,static,IR,22,198,97.6 ± 0.7,98.5 ± 0.7,96.7 ± 1.0,21.2 ± 17.4,0.8150521422503516
msptdfast_v2_3_python_port,static,RED,22,198,93.0 ± 8.4,97.6 ± 2.7,90.0 ± 12.0,33.7 ± 29.6,0.8212758342851885
