case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source
compact_cnn__l0_legacy64_w15_fixed10,0,0,Pre-Frail,0.5,0.4444444444444444,0.8,0.6222222222222222,0.47058823529411764,0.6777777777777777,0.6275903109236443,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,0,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.5,0.45215597253330325,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,0,2,Young,0.36363636363636365,0.5,0.6666666666666666,0.5833333333333333,0.42105263157894735,0.7023809523809523,0.45068473193473196,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,0,0,Pre-Frail,0.5,0.5555555555555556,0.75,0.6527777777777778,0.5263157894736842,0.6833333333333333,0.6031240364573698,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,0,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.47058823529411764,0.43551299128791926,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,0,2,Young,0.3333333333333333,0.375,0.7142857142857143,0.5446428571428572,0.35294117647058826,0.7083333333333334,0.4677926719486822,8,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,0,Pre-Frail,0.42857142857142855,0.3333333333333333,0.8,0.5666666666666667,0.375,0.6611111111111111,0.6017822333611808,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,1,Robust/Non-Frail,0.47058823529411764,0.6666666666666666,0.47058823529411764,0.5686274509803921,0.5517241379310345,0.5735294117647058,0.472830682389506,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.8154761904761905,0.7105925324675324,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,0,Pre-Frail,0.375,0.3333333333333333,0.75,0.5416666666666666,0.35294117647058826,0.6666666666666666,0.5652401701421309,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,1,Robust/Non-Frail,0.4,0.5,0.47058823529411764,0.4852941176470588,0.4444444444444444,0.5490196078431372,0.46199890694312895,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,0,2,Young,0.5,0.375,0.8571428571428571,0.6160714285714286,0.42857142857142855,0.7976190476190477,0.692877435064935,8,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,0,Pre-Frail,0.625,0.5555555555555556,0.85,0.7027777777777777,0.5882352941176471,0.7777777777777778,0.7138187429854097,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,1,Robust/Non-Frail,0.5,0.6666666666666666,0.5294117647058824,0.5980392156862745,0.5714285714285714,0.5980392156862745,0.5711966840685376,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.7142857142857142,0.557858187134503,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,0,Pre-Frail,0.4444444444444444,0.4444444444444444,0.75,0.5972222222222222,0.4444444444444444,0.7722222222222223,0.6468258392171435,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,1,Robust/Non-Frail,0.5,0.6666666666666666,0.5294117647058824,0.5980392156862745,0.5714285714285714,0.5980392156862745,0.5721237139193796,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,0,2,Young,0.5,0.25,0.9047619047619048,0.5773809523809523,0.3333333333333333,0.6666666666666666,0.547779304029304,8,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,0,Pre-Frail,0.3076923076923077,0.4444444444444444,0.55,0.49722222222222223,0.36363636363636365,0.6055555555555556,0.5446590732968442,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.5490196078431373,0.4614310501017158,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,2,Young,1.0,0.25,1.0,0.625,0.4,0.7202380952380952,0.6444128787878788,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,0,Pre-Frail,0.3333333333333333,0.4444444444444444,0.6,0.5222222222222221,0.38095238095238093,0.6222222222222222,0.4694526243545851,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.5588235294117647,0.4753178389527495,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,2,Young,0.4,0.25,0.8571428571428571,0.5535714285714286,0.3076923076923077,0.6666666666666666,0.543410926243407,8,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
