worst_class_f1_stability_rank,predictive_rank,case_id,abstention_aware_worst_class_f1,abstention_aware_worst_class_recall,worst_class_f1,worst_class_recall,participant_abstention_aware_balanced_accuracy_mean_sd,participant_balanced_accuracy_mean_sd,balanced_accuracy_lcb95
1,1,inception_full__l0_legacy64_w15_fixed10,0.5,0.4444444444444444,0.5,0.4444444444444444,57.9 ± 0.0,57.9 ± 0.0,
2,2,compact_cnn__l2_legacy400_w5_fixed10,0.4615384615384615,0.375,0.46153846153846156,0.375,53.2 ± 0.0,53.2 ± 0.0,
3,4,compact_cnn__l6_v2_line_b_balance_fixed10,0.4210526315789474,0.4166666666666667,0.42105263157894735,0.4166666666666667,49.5 ± 0.0,49.5 ± 0.0,
4,3,compact_cnn__l7_v2_training_bundle_fixed10,0.4,0.3333333333333333,0.4,0.3333333333333333,50.0 ± 0.0,50.0 ± 0.0,
5,5,compact_cnn__l1_legacy64_w5_fixed10,0.375,0.3333333333333333,0.375,0.3333333333333333,45.8 ± 0.0,45.8 ± 0.0,
6,7,compact_cnn__l3_v2_imu_window_scaled_fixed10,0.3636363636363637,0.25,0.36363636363636365,0.25,39.8 ± 0.0,39.8 ± 0.0,
7,6,compact_cnn__l0_legacy64_w15_fixed10,0.3636363636363636,0.3333333333333333,0.36363636363636365,0.3333333333333333,42.6 ± 0.0,42.6 ± 0.0,
8,8,compact_cnn__l5_uniform_replacement_fixed10,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.2222222222222222,38.0 ± 0.0,38.0 ± 0.0,
9,9,compact_cnn__l4_v2_imu_fold_scaled_fixed10,0.18181818181818182,0.125,0.18181818181818182,0.125,29.2 ± 0.0,29.2 ± 0.0,
