reference_case_id,case_id,repeat,balanced_accuracy_delta,macro_f1_delta,macro_roc_auc_ovr_delta,macro_pr_auc_ovr_delta
compact_cnn__l0_legacy64_w15_fixed10,inception_full__l0_legacy64_w15_fixed10,0,0.15277777777777785,0.1617024616250623,0.07069716775599133,0.10663216108251039
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l7_v2_training_bundle_fixed10,0,0.07407407407407413,0.06659841108622905,-0.02406629318394027,-0.022823659728348267
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l5_uniform_replacement_fixed10,0,-0.04629629629629628,-0.05029708853238263,-0.029505135387488335,0.0031137659117721483
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l6_v2_line_b_balance_fixed10,0,0.06944444444444453,0.07518600325505692,0.012021475256769332,-0.008297787121204436
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,-0.1342592592592592,-0.1343764594538588,-0.08010426392779335,-0.0848726981910004
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l3_v2_imu_window_scaled_fixed10,0,-0.027777777777777735,-0.010034135111534448,-0.0017818238406472897,0.04002399559825298
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l2_legacy400_w5_fixed10,0,0.10648148148148157,0.12197503219175043,0.06998132586367878,0.10414753293225687
compact_cnn__l0_legacy64_w15_fixed10,compact_cnn__l1_legacy64_w5_fixed10,0,0.03240740740740744,0.044328456320022414,0.05665266106442579,0.08492481094217985
