case_id,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,class_order,class_names,confusion_matrix,metric_source
compact_cnn__l5_uniform_replacement_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 6, 0], [4, 5, 3], [1, 2, 5]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [5, 5, 2], [1, 2, 5]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [5, 5, 2], [1, 2, 5]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 4, 1], [5, 5, 2], [1, 2, 5]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 4, 2], [6, 5, 1], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 4, 2], [6, 5, 1], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 2, 1], [6, 4, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [3, 8, 1], [0, 3, 5]]",pooled_same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,line_a_equal_files,line_a_equal_files,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [3, 8, 1], [0, 3, 5]]",pooled_same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 4, 1], [4, 8, 0], [0, 3, 5]]",pooled_same_fitted_oof_report_reaggregation
