case_id,class_order,confusion_matrix,metric_source
inception_full__l0_legacy64_w15_fixed10,"[0, 1, 2]","[[4, 3, 2], [3, 8, 1], [0, 3, 5]]",participant_oof_pooled_repeats
compact_cnn__l7_v2_training_bundle_fixed10,"[0, 1, 2]","[[6, 2, 1], [6, 4, 2], [2, 2, 4]]",participant_oof_pooled_repeats
compact_cnn__l5_uniform_replacement_fixed10,"[0, 1, 2]","[[2, 4, 3], [3, 5, 4], [1, 3, 4]]",participant_oof_pooled_repeats
compact_cnn__l6_v2_line_b_balance_fixed10,"[0, 1, 2]","[[4, 4, 1], [5, 5, 2], [1, 2, 5]]",participant_oof_pooled_repeats
compact_cnn__l4_v2_imu_fold_scaled_fixed10,"[0, 1, 2]","[[3, 4, 2], [7, 5, 0], [2, 5, 1]]",participant_oof_pooled_repeats
compact_cnn__l3_v2_imu_window_scaled_fixed10,"[0, 1, 2]","[[4, 5, 0], [6, 6, 0], [3, 3, 2]]",participant_oof_pooled_repeats
compact_cnn__l2_legacy400_w5_fixed10,"[0, 1, 2]","[[5, 3, 1], [3, 8, 1], [0, 5, 3]]",participant_oof_pooled_repeats
compact_cnn__l1_legacy64_w5_fixed10,"[0, 1, 2]","[[3, 5, 1], [3, 8, 1], [1, 4, 3]]",participant_oof_pooled_repeats
compact_cnn__l0_legacy64_w15_fixed10,"[0, 1, 2]","[[4, 3, 2], [3, 4, 5], [1, 3, 4]]",participant_oof_pooled_repeats
