case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
compact_cnn__l5_uniform_replacement_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,38.0 ± 0.0,36.8 ± 0.0,0.2222222222222222,0.26666666666666666,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l5_uniform_replacement_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,45.8 ± 0.0,45.9 ± 0.0,0.3333333333333333,0.35294117647058826,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.5 ± 0.0,48.8 ± 0.0,0.4166666666666667,0.42105263157894735,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.5 ± 0.0,48.8 ± 0.0,0.4166666666666667,0.42105263157894735,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l6_v2_line_b_balance_fixed10,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,49.5 ± 0.0,49.4 ± 0.0,0.4166666666666667,0.42105263157894735,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,37.5 ± 0.0,38.1 ± 0.0,0.3333333333333333,0.3157894736842105,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,37.5 ± 0.0,38.1 ± 0.0,0.3333333333333333,0.3157894736842105,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l7_v2_training_bundle_fixed10,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,50.0 ± 0.0,48.5 ± 0.0,0.3333333333333333,0.4,1,29,same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,57.9 ± 0.0,58.0 ± 0.0,0.4444444444444444,0.5,1,29,same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,57.9 ± 0.0,58.0 ± 0.0,0.4444444444444444,0.5,1,29,same_fitted_oof_report_reaggregation
inception_full__l0_legacy64_w15_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,57.9 ± 0.0,59.2 ± 0.0,0.4444444444444444,0.47058823529411764,1,29,same_fitted_oof_report_reaggregation
