model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
inceptiontime,1,1,0.8815140779136766,0.7899576013444071,1.1716631943170095,0.44680770463272007
inceptiontime,1,2,0.7826183036709509,0.9146939294871429,1.3166117538430677,0.46547912669292835
inceptiontime,1,3,0.7554027290208966,0.9479939513605894,1.351461774934598,0.552792917025819
inceptiontime,1,4,0.7451660244177419,0.955188032755203,1.1828710449494892,0.5193293614889425
inceptiontime,1,5,0.7366570077889355,0.9628973659809331,1.380238464208153,0.39624818022846364
inceptiontime,1,6,0.7257332611591258,0.9710353282303655,1.2919395148120425,0.48323237858049933
inceptiontime,1,7,0.7245488450036827,0.9711323127240803,1.0927407673331184,0.5520578473905645
inceptiontime,1,8,0.7160603585818135,0.9798035028840252,1.1404743968434004,0.5268138991028701
inceptiontime,1,9,0.7177961134741492,0.9794243039462792,1.2255525178578288,0.6094222930791015
inceptiontime,1,10,0.7121568136181392,0.9827139131249817,1.1447777005565993,0.5852499735894684
inceptiontime,1,11,0.7159156866952883,0.9803082728718501,1.1947936440647358,0.5432576423796387
inceptiontime,1,12,0.7125267695027886,0.9831328071012299,1.143364607505011,0.580155439305162
inceptiontime,1,13,0.7113193379226306,0.9806838533252199,1.1990089182409367,0.5430504441595015
inceptiontime,1,14,0.7103899176239122,0.9820207927076344,1.1281577327461672,0.5815989962323912
inceptiontime,1,15,0.7068886389123633,0.9874807597026914,1.1589141505967833,0.6240069618073315
inceptiontime,2,1,0.8451065855366843,0.815314454184262,1.2880337957235484,0.3828561690524881
inceptiontime,2,2,0.7631363264151982,0.9213120062516041,1.3932158509767973,0.3234548966144058
inceptiontime,2,3,0.7350991772753852,0.9522637138195025,1.270260042337271,0.36869650836931006
inceptiontime,2,4,0.7267206370830536,0.9611913981003517,1.3084871750611526,0.3310819510717261
inceptiontime,2,5,0.726736867427826,0.9594965028695888,1.1803298429342417,0.3345773687798228
inceptiontime,2,6,0.7116165135587965,0.9737512201941909,1.2369321179756751,0.29502196470499126
inceptiontime,2,7,0.7120674780436924,0.9715662238358515,1.2970181960325975,0.3046390971748845
inceptiontime,2,8,0.7087866744824818,0.9752665555294519,1.1880142693152795,0.38065969855335907
inceptiontime,2,9,0.7005866638251713,0.9812574591142633,1.1707368434025691,0.380663485571461
inceptiontime,2,10,0.6977560920374734,0.9831599128400589,1.350207695520841,0.2841589032795577
inceptiontime,2,11,0.6983215974909919,0.9821603747262483,1.2799198628939115,0.2750757403620389
inceptiontime,2,12,0.6964398618255343,0.9821591306255074,1.2291421394348145,0.32414413390896013
inceptiontime,2,13,0.6959575116634369,0.9824935540975185,1.3639552431840163,0.3403393168219344
inceptiontime,2,14,0.6901664163385118,0.9904963589747316,1.2122707953819862,0.2924316443232599
inceptiontime,2,15,0.6923463893788201,0.9864955785864956,1.2573017561985895,0.3158278421570855
inceptiontime,3,1,0.8559691825083324,0.8075311143678983,1.1354061519840568,0.5759557884107297
inceptiontime,3,2,0.7648960326399122,0.9228415221434,1.140864056222914,0.6502503833734696
inceptiontime,3,3,0.7447822638920375,0.9424970391508669,1.009977661344594,0.5900402253104311
inceptiontime,3,4,0.7353693855660303,0.952878446113882,1.1551082869863378,0.5670533590018919
inceptiontime,3,5,0.7229314280407769,0.9659563888740585,1.2115288138353097,0.5591761263923625
inceptiontime,3,6,0.7195240174021039,0.9686761107078873,1.205920545212676,0.6368526523272174
inceptiontime,3,7,0.7106647627694266,0.9761785317875833,1.0651599253066864,0.6099454490607483
inceptiontime,3,8,0.7103350613798414,0.9738940030707002,1.2734932979020934,0.561703171663869
inceptiontime,3,9,0.7055846197264535,0.9812035447567465,1.1447827007415137,0.6333004021553515
inceptiontime,3,10,0.697655788064003,0.984179865499076,1.0514830660666754,0.5193599656254038
inceptiontime,3,11,0.6991271397897175,0.984423707678402,1.0644728394871208,0.5796263078536129
inceptiontime,3,12,0.6962763352053506,0.9859415794177471,1.070657088043568,0.6083650359193992
inceptiontime,3,13,0.6933380348341805,0.9879084751978349,1.1507786979433006,0.5634355888784913
inceptiontime,3,14,0.6968023278883525,0.9857620900471166,1.0315775334342452,0.6611785069510515
inceptiontime,3,15,0.69486651463168,0.9867394281212288,1.0979235878332259,0.6322392225120931
inceptiontime,4,1,0.8593159585582967,0.8138572091802082,1.3579033906262965,0.33286794349082355
inceptiontime,4,2,0.7733128249239759,0.9211579053675937,1.432504129383309,0.36379552540514615
inceptiontime,4,3,0.7545979452781937,0.9476382841360583,1.41928717442152,0.35568603602060284
inceptiontime,4,4,0.7416355999148622,0.9530402477382204,1.2767258843683569,0.3894028163223353
inceptiontime,4,5,0.7392777370757797,0.9618274030944848,1.4352751199248455,0.35837473304324985
