overfit_rank,overfit_stage,overfit_config_id,reference_source,reference_source_config_id,model,cnn_epochs,stage1_regularization_value,sqi_mode,aggregation,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_macro_f1_mean,worst_class_recall_mean,worst_class_f1_mean,train_val_balanced_accuracy_gap_mean,best_epoch_train_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_mean,n_train_samples_per_epoch_mean,duration_sec_mean
1,fixed_reference,ref_20260625_top1_s1_122,20260625.0,s1_122,inceptiontime,15,s1_122,top50_quality,quality_weighted_mean,none,all,50.0,0.6231481481481481,0.013733700902029,0.6060982399666174,0.6146290038463952,0.4833333333333334,0.5209523809523808,0.4609221462994671,0.9951010069812812,0.5341788606818141,31328.0,433.6017176853493
2,fixed_reference,ref_20260625_top2_s1_102,20260625.0,s1_102,inceptiontime,15,s1_102,top50_quality,mean_prob,none,all,50.0,0.6175925925925926,0.0309874083901509,0.5791228114604279,0.6080746539322391,0.4833333333333333,0.5293557422969188,0.4643579041014202,0.9950455981550748,0.5306876940536543,31328.0,433.0451941174921
13,fixed_reference,ref_20260608_top2_s1_091,20260608.0,s1_091,inceptiontime,10,s1_091,none,mean_prob,none,all,50.0,0.5648148148148148,0.0555555555555555,0.4958445403088212,0.5466865481228114,0.3666666666666666,0.4285225885225885,0.4715049814171967,0.9890995131149452,0.5175945316977484,62628.0,521.4342126327567
18,fixed_reference,ref_20260608_top3_s1_105,20260608.0,s1_105,inceptiontime,10,s1_105,none,mean_prob,none,all,50.0,0.5601851851851852,0.0430580445318015,0.5067301324662916,0.5510904171881423,0.4083333333333333,0.4576441102756892,0.4734150150642007,0.9924898010115172,0.5190747859473166,62628.0,543.4364161877893
27,fixed_reference,ref_20260527_top1_g0068,20260527.0,g0068,inceptiontime,50,g0068,none,mean_prob,none,all,30.000000000000004,0.5527777777777778,0.0546413986067428,0.4849423970744054,0.5460743831332067,0.4416666666666667,0.4732600732600732,0.4951889432252516,0.9973276936841656,0.5021387504589139,45180.0,1771.36619730182
28,fixed_reference,ref_20260527_top2_g0056,20260527.0,g0056,inceptiontime,50,g0056,none,mean_prob,none,all,50.0,0.5509259259259258,0.0975523495634513,0.4298181040202001,0.5535429686748842,0.4583333333333333,0.5008509316770187,0.4904765259759318,0.9980735940860068,0.5075970681100749,62628.0,2438.6771308723373
34,fixed_reference,ref_20260608_top4_s1_163,20260608.0,s1_163,inceptiontime,15,s1_163,none,mean_prob,none,all,50.0,0.5481481481481482,0.0555169619034121,0.4792257863082401,0.5448699628495025,0.45,0.4976190476190476,0.4745940268563104,0.9960199043448836,0.5214258774885729,62628.0,800.7766987054608
40,fixed_reference,ref_20260608_top1_s1_085,20260608.0,s1_085,inceptiontime,10,s1_085,none,mean_prob,none,all,50.0,0.5425925925925925,0.0566444219228991,0.4722705286659904,0.5375701028471702,0.4416666666666667,0.4912422360248447,0.4911845007350223,0.9974324765638132,0.5062479758287909,62628.0,507.0891031711362
