comparison,n_pairs,mean_diff_ba,median_diff_ba,positive_pairs,negative_pairs,zero_pairs,mean_diff_macro_f1,mean_diff_worst_f1,mean_diff_gap
small_inceptiontime - inceptiontime,112,0.0054315476190476145,0.006018518518518395,61,50,1,0.008994650242480405,0.01717065953255572,-0.061141118506139805
15 - 10 epochs,112,0.0003885582010582069,-8.326672684688674e-17,54,56,2,-0.0014676851410630866,0.00398694503471753,0.017459239800312037
top50_quality - none,112,0.012888558201058203,0.013888888888888867,71,41,0,0.012762478045540567,0.0039576231290230955,-0.0007500084779012156
wd0.01_do0.5_ls0.3 - wd0.005_do0.5_ls0.2,112,-0.0003720238095238052,-0.0013888888888889117,49,61,2,-0.0019865925076509726,0.006769104653564431,-0.005131317526191567
train overlap 30 - 0,112,0.004637896825396828,0.0023148148148148806,58,53,1,0.004085583386117304,0.001073455382563745,0.004601581640471102
class_subject_balanced - subject_balanced,96,0.011574074074074084,0.012037037037037096,61,34,1,0.010768706284641985,0.008058574971210415,-0.006327778593155884
