model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
inceptiontime,1,1,0.4889405645807767,0.90814344186163,1.2652904447975224,0.4655928005792815
inceptiontime,1,2,0.39027707052120963,0.9686934351036655,0.9927671248817551,0.6897831931348987
inceptiontime,1,3,0.3650801770972766,0.9803417540429531,1.0505429146728558,0.656338779503297
inceptiontime,1,4,0.3622117946224828,0.9822166053466154,1.4525413186481715,0.5685740201515992
inceptiontime,1,5,0.3505776436647512,0.9873494694066539,1.0159042934118259,0.6932850342022555
inceptiontime,1,6,0.3439927643619924,0.9905406725180562,1.070150919053148,0.5634041643557034
inceptiontime,1,7,0.34131848729700537,0.9929014403581863,1.107954004656819,0.6251517147347014
inceptiontime,1,8,0.33588845801243583,0.9941972606102633,1.2397793987928378,0.594850673260615
inceptiontime,1,9,0.34259173081767175,0.9909513915418376,1.3352703045242345,0.5416940515806988
inceptiontime,1,10,0.33205337005276836,0.9949047346963047,1.5512351343721638,0.5323903447957109
inceptiontime,2,1,0.46089395383993786,0.9227262123666486,2.210371325144005,0.366426558863163
inceptiontime,2,2,0.371597694164073,0.9755900275256658,1.7608687652034791,0.2655243170403038
inceptiontime,2,3,0.35335075455131354,0.982878962605943,1.7462579957279105,0.3671095185593532
inceptiontime,2,4,0.34519838389975055,0.9857512050660963,1.412830605187598,0.4539189023643268
inceptiontime,2,5,0.3384024215241273,0.9896417851924917,1.638533118487592,0.3598615705010413
inceptiontime,2,6,0.3353459331448431,0.9902092349105683,1.5839490550093447,0.26907999509984076
inceptiontime,2,7,0.33199401048046573,0.9914293216667951,1.474353799255236,0.4570476540487565
inceptiontime,2,8,0.32467683280507725,0.9946836364860102,1.3237310217174958,0.43240597819429133
inceptiontime,2,9,0.32190854971607524,0.9959531665565974,1.8886816106782014,0.3862042141369595
inceptiontime,2,10,0.32412958917794404,0.994853800118911,1.4473904436572718,0.37328678182040914
inceptiontime,3,1,0.4652556117486071,0.9232241737606084,1.262917310212926,0.6387751301058221
inceptiontime,3,2,0.37473926072319347,0.9741711597131734,2.0976391383767456,0.6098199408474813
inceptiontime,3,3,0.3540530080596606,0.9824290020625099,1.5428110936456476,0.6283990109584411
inceptiontime,3,4,0.35095413912225654,0.9839329697281803,1.175521289317076,0.6466919803103114
inceptiontime,3,5,0.3401294558964394,0.9884585274251397,1.7704792366868536,0.480761332221596
inceptiontime,3,6,0.3380887734669226,0.9897069571346457,1.501331892355086,0.6369400197607874
inceptiontime,3,7,0.33006912249105946,0.993473703648796,1.370390493285229,0.5820274847712062
inceptiontime,3,8,0.3258923950294654,0.9943085910170281,1.0456925956342502,0.6495663228556913
inceptiontime,3,9,0.32652240798429205,0.9941083220844614,1.2325335662883832,0.6481021881868486
inceptiontime,3,10,0.3190322591474763,0.9970473336922568,0.8840984703423892,0.7297845832452085
inceptiontime,4,1,0.4842304171456231,0.9152121708132936,1.313934730856042,0.404632094657053
inceptiontime,4,2,0.3878463840484619,0.9692296469732254,1.1440205179715777,0.5217350711776668
inceptiontime,4,3,0.36620640211635164,0.9810571120543191,1.1703855099477902,0.514688482159364
inceptiontime,4,4,0.35378869626257153,0.9859113886826517,1.362877396287162,0.42724163431318174
inceptiontime,4,5,0.34744569407569037,0.9884937307111858,1.2981906110925885,0.40897670549084864
inceptiontime,4,6,0.346878229909473,0.9886320637760097,1.086783806952852,0.5318672582732483
inceptiontime,4,7,0.33701815843582156,0.9935621632775492,1.0249998193435237,0.5983980403031983
inceptiontime,4,8,0.3342855660120646,0.9935980472854861,1.1589406672058544,0.5102283231650953
inceptiontime,4,9,0.337509913444519,0.9908489865497957,1.020738361598173,0.5868053244592346
inceptiontime,4,10,0.3346796955002679,0.9947239914914848,1.1818278593909017,0.49353392493991494
inceptiontime,5,1,0.46556995326170214,0.9256049835361372,2.1512702472305243,0.4287077093732668
inceptiontime,5,2,0.37774533626657947,0.976034038423736,1.540505605297311,0.4009585875392864
inceptiontime,5,3,0.36395446583628654,0.9812585303141933,1.6443151043627673,0.4888824181919024
inceptiontime,5,4,0.3534326378118109,0.987824495891472,1.5306823657394315,0.45365132187095586
inceptiontime,5,5,0.34811350730834184,0.9895137411618826,1.3294370468956176,0.4759696801626918
inceptiontime,5,6,0.3428857762504507,0.9910382847600538,1.3692024445149846,0.4093566278424848
inceptiontime,5,7,0.3485017173268177,0.9871754578472892,1.3326020815318191,0.4990691440192272
inceptiontime,5,8,0.33843396493682154,0.9930922507356396,1.368727588507945,0.5082649288223332
inceptiontime,5,9,0.33447796299501703,0.9941552603352154,1.4977878043547,0.42713717877611385
inceptiontime,5,10,0.3286119458024149,0.9961660980018364,1.37682969188902,0.4949232760214457
