overfit_stage,n_configs,min_repeats,max_repeats,mean_repeats,best_ba,mean_ba
fixed_reference,8,5,5,5.0,0.6231481481481481,0.5700231481481481
generalization,224,5,5,5.0,0.5814814814814815,0.5043444113756613
