case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source,expected_calibration_error
compact_cnn__b2_star_fixed10,3,0.5694444444444444,0.5883430295195001,0.750046685340803,0.6866339692596246,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.15337960419532098
compact_cnn__b2_star_fixed10,4,0.6064814814814815,0.5959595959595959,0.7630796763149704,0.6824607505593058,0.4166666666666667,0.45454545454545453,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.1801434669697731
compact_cnn__b2_star_fixed10,0,0.6064814814814815,0.6227695675971537,0.8002100840336134,0.7001513622018006,0.4444444444444444,0.5333333333333333,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.14137253725792248
compact_cnn__b2_star_fixed10,1,0.4444444444444444,0.4397605083088954,0.6966619981325864,0.5975159805174687,0.25,0.36363636363636365,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.31402804770626025
compact_cnn__b2_star_fixed10,2,0.4444444444444444,0.4318181818181818,0.7247354497354497,0.6229462417575163,0.25,0.3333333333333333,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3116004395379395
compact_cnn__b2_star_fixed10,3,0.5787037037037037,0.5913715913715913,0.7498288204170557,0.6957860464709125,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.1761865401439402
compact_cnn__b2_star_fixed10,4,0.5231481481481481,0.5144927536231884,0.7620992841581077,0.6799555651169213,0.375,0.43478260869565216,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2361950477582046
compact_cnn__b3_star_fixed10,0,0.4444444444444444,0.4397605083088954,0.6796218487394957,0.55695998192838,0.25,0.36363636363636365,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.2913488653377949
compact_cnn__b3_star_fixed10,1,0.3194444444444444,0.3261904761904762,0.6210862122626828,0.5183894895885286,0.25,0.25,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.41527587305243235
compact_cnn__b3_star_fixed10,2,0.5370370370370371,0.52,0.7126906318082789,0.6096116877300227,0.25,0.36363636363636365,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.2655009140549248
compact_cnn__b3_star_fixed10,3,0.5416666666666666,0.5553366174055829,0.6973078120136944,0.6136360905223732,0.3333333333333333,0.4,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.24323128571383942
compact_cnn__b3_star_fixed10,4,0.5185185185185185,0.540952380952381,0.6322673513849985,0.5866169608696205,0.5,0.47619047619047616,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.46472907311933775
compact_cnn__b3_star_fixed10,0,0.4166666666666667,0.4166369578134284,0.6427482103952692,0.49169593201530076,0.25,0.35294117647058826,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2979204165645607
compact_cnn__b3_star_fixed10,1,0.375,0.37918552036199094,0.6422657952069717,0.566618244052981,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3555628224100558
compact_cnn__b3_star_fixed10,2,0.46759259259259256,0.4295652173913043,0.7015328353563648,0.5722622947561626,0.125,0.2,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3037941729896829
compact_cnn__b3_star_fixed10,3,0.5509259259259259,0.5657305657305657,0.6875661375661375,0.5914266747298148,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2609169390341822
compact_cnn__b3_star_fixed10,4,0.5092592592592592,0.5354126055880442,0.6274120759414877,0.5888774352052581,0.4444444444444444,0.42105263157894735,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.36847510046106957
compact_cnn__b4_star_fixed10,0,0.38888888888888884,0.3878718535469107,0.5338390911920324,0.45666645145582146,0.3333333333333333,0.3157894736842105,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.37223128513214154
compact_cnn__b4_star_fixed10,1,0.46759259259259256,0.47049247049247045,0.642016806722689,0.5845266297902176,0.375,0.42857142857142855,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.3073985259471128
compact_cnn__b4_star_fixed10,2,0.4305555555555556,0.4333437078535118,0.6770619358854653,0.575704854101612,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.34070802826540086
compact_cnn__b4_star_fixed10,3,0.47222222222222215,0.4488888888888889,0.5786103330220977,0.5189855990004338,0.25,0.3333333333333333,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.3748143900933875
compact_cnn__b4_star_fixed10,4,0.40740740740740744,0.39889579020013805,0.5428026766262061,0.45386877373806706,0.25,0.2857142857142857,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.38781085201789767
compact_cnn__b4_star_fixed10,0,0.3796296296296296,0.3796296296296296,0.5443899782135077,0.4466798304934449,0.2222222222222222,0.2222222222222222,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.4119992204473365
compact_cnn__b4_star_fixed10,1,0.4259259259259259,0.42430149447693305,0.6215997510115158,0.5185793568189508,0.25,0.3333333333333333,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.33349036019816336
compact_cnn__b4_star_fixed10,2,0.4305555555555556,0.43779677113010446,0.6955026455026454,0.5941092225452129,0.3333333333333333,0.3333333333333333,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3419424861840191
compact_cnn__b4_star_fixed10,3,0.4537037037037037,0.45772005772005775,0.599587612822907,0.5202354517305497,0.4166666666666667,0.36363636363636365,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3312051948445185
compact_cnn__b4_star_fixed10,4,0.41203703703703703,0.4115942028985507,0.5564425770308122,0.46858319713002666,0.375,0.4,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3840804458894611
compact_cnn__b5_star_fixed10,0,0.4953703703703704,0.4953703703703704,0.6709617180205415,0.5810115021144432,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.31406856169278285
compact_cnn__b5_star_fixed10,1,0.5324074074074074,0.5460875331564986,0.6768907563025209,0.5621699305517507,0.375,0.46153846153846156,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.3118689929797982
compact_cnn__b5_star_fixed10,2,0.49074074074074076,0.49210526315789477,0.6709539371304077,0.5658127245019828,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.3856902036385056
compact_cnn__b5_star_fixed10,3,0.5787037037037037,0.6037491919844861,0.7382664176781825,0.6649518676866458,0.4444444444444444,0.47058823529411764,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.2273197992834981
compact_cnn__b5_star_fixed10,4,0.5185185185185185,0.5317948717948718,0.7145891690009337,0.6434427718521024,0.5,0.48,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.22844585207130375
compact_cnn__b5_star_fixed10,0,0.4490740740740741,0.44841269841269843,0.661391223155929,0.5508383157999527,0.375,0.4166666666666667,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.36951105770001524
compact_cnn__b5_star_fixed10,1,0.46759259259259256,0.4844489519945909,0.6749922191098662,0.5601940601668862,0.375,0.47058823529411764,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.397423579070337
compact_cnn__b5_star_fixed10,2,0.4490740740740741,0.44841269841269843,0.6355431061313414,0.5063859179496099,0.375,0.4166666666666667,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3822443962193003
compact_cnn__b5_star_fixed10,3,0.5370370370370371,0.5608465608465608,0.7343837535014005,0.6592257247301107,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3144594373639414
compact_cnn__b5_star_fixed10,4,0.5277777777777778,0.5344932844932845,0.7177248677248677,0.6406206522808691,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2830701599502568
compact_cnn__b6_star_fixed10,0,0.4490740740740741,0.44841269841269843,0.6630018674136321,0.5504922613470974,0.375,0.4166666666666667,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.3205906214516593
compact_cnn__b6_star_fixed10,1,0.4305555555555555,0.40952380952380957,0.621171802054155,0.5172913529117303,0.25,0.3,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.34700758151734395
compact_cnn__b6_star_fixed10,2,0.6064814814814815,0.5892857142857143,0.7182228446934329,0.6227220202366401,0.4166666666666667,0.47619047619047616,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.18585016816113709
compact_cnn__b6_star_fixed10,3,0.48148148148148145,0.48592592592592593,0.6977980080921258,0.6292625819551082,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.28379534867324746
compact_cnn__b6_star_fixed10,4,0.49074074074074076,0.5027472527472527,0.6691954559601618,0.5945061513054719,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",line_a_equal_files,line_a_equal_files,declared_source_line,False,none,file_oof_reaggregation,0.2633494765164362
compact_cnn__b6_star_fixed10,0,0.4490740740740741,0.44841269841269843,0.6245331465919701,0.508322204491583,0.375,0.4166666666666667,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3558103279934203
compact_cnn__b6_star_fixed10,1,0.5,0.4865800865800865,0.627077497665733,0.5333389663407724,0.3333333333333333,0.38095238095238093,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.33014852894617597
compact_cnn__b6_star_fixed10,2,0.5324074074074073,0.5069423330292896,0.7098350451291627,0.600896943319329,0.3333333333333333,0.36363636363636365,29,"[0, 1, 2]",line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.2816398735514226
