model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,repeat,fold,reference_native_aggregation_view,variant_native_aggregation_view,contrast_metrics_available,inference,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,3,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.5555555555555555,0.22222222222222215,0.25,0.5555555555555555,0.30555555555555547,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,4,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.5555555555555555,0.3333333333333333,-0.22222222222222215,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,4,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.4444444444444444,0.5,0.05555555555555558,0.35714285714285715,0.47222222222222215,0.115079365079365,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,4,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7222222222222222,0.16666666666666666,-0.5555555555555556,0.7222222222222222,0.09523809523809523,-0.626984126984127,0.5,0.0,-0.5
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,4,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.19047619047619047,0.13333333333333333,-0.057142857142857134,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,4,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.5,0.16666666666666669,0.35555555555555557,0.5,0.14444444444444443,0.0,0.5,0.5
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,0,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.41269841269841273,0.4444444444444444,0.03174603174603169,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,0,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5555555555555555,0.5555555555555555,0.0,0.43333333333333335,0.41269841269841273,-0.020634920634920617,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,0,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.4000000000000001,0.16666666666666666,-0.23333333333333342,0.0,0.0,0.0
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,0,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.6555555555555556,-0.34444444444444444,1.0,0.5,-0.5
