case_id,parameter_count,inference_cost,operational_measurements_complete,reported_eligible,reported_exclusion_reason,deployment_readiness
compact_cnn__b0_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b0_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b1_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b1_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b2_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b2_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b3_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b3_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b4_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b4_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b5_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b5_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b6_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b6_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
compact_cnn__b7_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
inception_full__b7_star_fixed10,,{},False,,,N/A_pending_hardware_evidence_V2_026
