case_id,status,is_reference,changed_values,complete_for_requested_execution,incompleteness_reasons,expected_repeat_count,expected_fold_cell_count,passed_fold_cell_count,metric_source,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,participant_macro_roc_auc_ovr_mean_sd,participant_macro_pr_auc_ovr_mean_sd,participant_abstention_aware_balanced_accuracy_mean_sd,participant_mean_abstention_aware_macro_precision,participant_mean_abstention_aware_macro_recall,participant_abstention_aware_macro_f1_mean_sd,primary_ranking_metric,primary_ranking_metric_source,frailty_classification_evaluation_scope,auxiliary_motion_evidence_valid_outer_oof,ranking_interpretation,participant_mean_coverage_rate,abstention_count,abstention_counts_by_class,balanced_accuracy_lcb95,macro_f1_lcb95,worst_fold_balanced_accuracy,worst_fold_abstention_aware_balanced_accuracy,worst_class_recall,worst_class_f1,abstention_aware_worst_class_recall,abstention_aware_worst_class_f1,expected_calibration_error,repeat_count,fold_cell_count,subject_oof_prediction_count,ci_method,conditional_ci_method,repeat_ci95_method
compact_cnn__b0_star_fixed10,passed,True,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",True,[],5,25,25,participant_oof,53.8 ± 6.8,52.9 ± 6.6,69.2 ± 4.3,61.0 ± 7.0,53.8 ± 6.8,0.5635016835016835,0.537962962962963,52.9 ± 6.6,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.47306290559974684,0.46601876556213667,0.16666666666666666,0.16666666666666666,0.4666666666666667,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.25452704846214463,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
inception_full__b0_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B0"", ""study.legacy_bridge_profile_definition_sha256"": ""c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b0_star""}",True,[],5,25,25,participant_oof,56.8 ± 2.4,57.2 ± 2.5,72.8 ± 2.5,64.6 ± 4.0,56.8 ± 2.4,0.5864570614570614,0.5675925925925925,57.2 ± 2.5,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5447426752775419,0.5490268161623703,0.3333333333333333,0.3333333333333333,0.5,0.4918032786885246,0.5,0.4918032786885246,0.2130850423070874,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
compact_cnn__b1_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B1"", ""study.legacy_bridge_profile_definition_sha256"": ""78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b1_star""}",True,[],5,25,25,participant_oof,44.9 ± 9.3,43.9 ± 11.0,63.7 ± 2.9,54.2 ± 4.5,44.9 ± 9.3,0.4491859991859992,0.44907407407407407,43.9 ± 11.0,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.3603568553211777,0.3342632264660623,0.16666666666666666,0.16666666666666666,0.275,0.3492063492063492,0.275,0.34920634920634924,0.26996811470791227,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
inception_full__b1_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B1"", ""study.legacy_bridge_profile_definition_sha256"": ""78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b1_star""}",True,[],5,25,25,participant_oof,50.3 ± 2.3,50.5 ± 2.3,68.0 ± 6.6,61.5 ± 5.0,50.3 ± 2.3,0.5280952380952381,0.5027777777777778,50.5 ± 2.3,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.48124471956986226,0.482859325903614,0.16666666666666666,0.16666666666666666,0.425,0.4857142857142857,0.425,0.48571428571428565,0.22004808535939302,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
compact_cnn__b2_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",True,[],5,25,25,participant_oof,56.9 ± 5.9,57.2 ± 6.9,74.7 ± 4.4,66.1 ± 5.6,56.9 ± 5.9,0.6104232804232804,0.5685185185185185,57.2 ± 6.9,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.5119592463336416,0.5057120953160784,0.16666666666666666,0.16666666666666666,0.55,0.5376344086021505,0.55,0.5376344086021506,0.1648279113081538,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
inception_full__b2_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B2"", ""study.legacy_bridge_profile_definition_sha256"": ""9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b2_star""}",True,[],5,25,25,participant_oof,50.9 ± 5.2,51.8 ± 4.7,71.5 ± 2.9,64.2 ± 1.2,50.9 ± 5.2,0.5755114092420593,0.5092592592592593,51.8 ± 4.7,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.45961574716829895,0.4731172708949103,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.45454545454545453,0.4444444444444444,0.4545454545454546,0.2383623484647941,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
compact_cnn__b3_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B3"", ""study.legacy_bridge_profile_definition_sha256"": ""79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b3_star""}",True,[],5,25,25,participant_oof,47.2 ± 9.4,47.6 ± 9.5,66.9 ± 4.0,57.7 ± 4.0,47.2 ± 9.4,0.5344910679276004,0.4722222222222222,47.6 ± 9.5,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.3826853012507748,0.38574511661805844,0.16666666666666666,0.16666666666666666,0.4,0.44680851063829785,0.4,0.44680851063829785,0.2904530166674657,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
inception_full__b3_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B3"", ""study.legacy_bridge_profile_definition_sha256"": ""79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b3_star""}",True,[],5,25,25,participant_oof,49.7 ± 5.9,50.3 ± 7.3,68.8 ± 1.4,60.7 ± 4.1,49.7 ± 5.9,0.541559829059829,0.49722222222222223,50.3 ± 7.3,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.44107781582525646,0.43355068815019193,0.16666666666666666,0.16666666666666666,0.475,0.464,0.475,0.464,0.2696136267066603,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
compact_cnn__b4_star_fixed10,passed,False,"{""study.catalog_entry"": ""compact_cnn"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B4"", ""study.legacy_bridge_profile_definition_sha256"": ""c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b4_star""}",True,[],5,25,25,participant_oof,43.3 ± 3.7,42.8 ± 3.4,59.5 ± 6.3,51.8 ± 6.3,43.3 ± 3.7,0.4400481000481,0.4333333333333333,42.8 ± 3.4,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.3984946880293763,0.39512150136887364,0.0,0.0,0.4,0.42,0.4,0.42,0.3466632537080325,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
inception_full__b4_star_fixed10,passed,False,"{""study.catalog_entry"": ""inception_full"", ""study.legacy_bridge_design"": ""centered_star_v1"", ""study.legacy_bridge_profile"": ""B4"", ""study.legacy_bridge_profile_definition_sha256"": ""c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec"", ""study.legacy_bridge_runtime"": ""implemented_field_driven_centered_star_v1"", ""study.screen_profile_id"": ""legacy_bridge_b4_star""}",True,[],5,25,25,participant_oof,43.0 ± 7.3,43.1 ± 7.3,57.2 ± 6.3,47.7 ± 7.1,43.0 ± 7.3,0.44640692640692636,0.4296296296296297,43.1 ± 7.3,participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.3597429507185576,0.3613360028085754,0.0,0.0,0.35,0.3958333333333333,0.35,0.3958333333333333,0.37702810908483475,5,25,145,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95
