case_id,metric,metric_source,n,mean_sd,ci95
inception_full__b3_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,49.7 ± 5.9,"[42.4, 57.0]"
inception_full__b3_star_fixed10,abstention_aware_macro_f1,participant_oof,5,50.3 ± 7.3,"[41.2, 59.4]"
compact_cnn__b4_star_fixed10,balanced_accuracy,participant_oof,5,43.3 ± 3.7,"[38.8, 47.9]"
compact_cnn__b4_star_fixed10,macro_f1,participant_oof,5,42.8 ± 3.4,"[38.5, 47.1]"
compact_cnn__b4_star_fixed10,macro_roc_auc_ovr,participant_oof,5,59.5 ± 6.3,"[51.7, 67.3]"
compact_cnn__b4_star_fixed10,macro_pr_auc_ovr,participant_oof,5,51.8 ± 6.3,"[44.0, 59.6]"
compact_cnn__b4_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,43.3 ± 3.7,"[38.8, 47.9]"
compact_cnn__b4_star_fixed10,abstention_aware_macro_f1,participant_oof,5,42.8 ± 3.4,"[38.5, 47.1]"
inception_full__b4_star_fixed10,balanced_accuracy,participant_oof,5,43.0 ± 7.3,"[33.9, 52.1]"
inception_full__b4_star_fixed10,macro_f1,participant_oof,5,43.1 ± 7.3,"[34.0, 52.1]"
inception_full__b4_star_fixed10,macro_roc_auc_ovr,participant_oof,5,57.2 ± 6.3,"[49.4, 65.0]"
inception_full__b4_star_fixed10,macro_pr_auc_ovr,participant_oof,5,47.7 ± 7.1,"[38.9, 56.5]"
inception_full__b4_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,43.0 ± 7.3,"[33.9, 52.1]"
inception_full__b4_star_fixed10,abstention_aware_macro_f1,participant_oof,5,43.1 ± 7.3,"[34.0, 52.1]"
compact_cnn__b5_star_fixed10,balanced_accuracy,participant_oof,5,52.3 ± 3.5,"[47.9, 56.7]"
compact_cnn__b5_star_fixed10,macro_f1,participant_oof,5,53.4 ± 4.5,"[47.7, 59.0]"
compact_cnn__b5_star_fixed10,macro_roc_auc_ovr,participant_oof,5,69.4 ± 3.1,"[65.6, 73.2]"
compact_cnn__b5_star_fixed10,macro_pr_auc_ovr,participant_oof,5,60.3 ± 4.7,"[54.5, 66.2]"
compact_cnn__b5_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,52.3 ± 3.5,"[47.9, 56.7]"
compact_cnn__b5_star_fixed10,abstention_aware_macro_f1,participant_oof,5,53.4 ± 4.5,"[47.7, 59.0]"
inception_full__b5_star_fixed10,balanced_accuracy,participant_oof,5,51.8 ± 3.9,"[46.9, 56.6]"
inception_full__b5_star_fixed10,macro_f1,participant_oof,5,51.5 ± 3.7,"[47.0, 56.1]"
inception_full__b5_star_fixed10,macro_roc_auc_ovr,participant_oof,5,69.5 ± 2.7,"[66.2, 72.9]"
inception_full__b5_star_fixed10,macro_pr_auc_ovr,participant_oof,5,61.3 ± 3.4,"[57.1, 65.5]"
inception_full__b5_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,51.8 ± 3.9,"[46.9, 56.6]"
inception_full__b5_star_fixed10,abstention_aware_macro_f1,participant_oof,5,51.5 ± 3.7,"[47.0, 56.1]"
compact_cnn__b6_star_fixed10,balanced_accuracy,participant_oof,5,49.2 ± 6.9,"[40.6, 57.7]"
compact_cnn__b6_star_fixed10,macro_f1,participant_oof,5,48.7 ± 6.7,"[40.3, 57.1]"
compact_cnn__b6_star_fixed10,macro_roc_auc_ovr,participant_oof,5,67.4 ± 3.7,"[62.8, 72.0]"
compact_cnn__b6_star_fixed10,macro_pr_auc_ovr,participant_oof,5,58.3 ± 4.8,"[52.3, 64.2]"
compact_cnn__b6_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,49.2 ± 6.9,"[40.6, 57.7]"
compact_cnn__b6_star_fixed10,abstention_aware_macro_f1,participant_oof,5,48.7 ± 6.7,"[40.3, 57.1]"
inception_full__b6_star_fixed10,balanced_accuracy,participant_oof,5,56.0 ± 3.8,"[51.3, 60.7]"
inception_full__b6_star_fixed10,macro_f1,participant_oof,5,56.2 ± 4.7,"[50.4, 62.1]"
inception_full__b6_star_fixed10,macro_roc_auc_ovr,participant_oof,5,72.5 ± 4.0,"[67.5, 77.5]"
inception_full__b6_star_fixed10,macro_pr_auc_ovr,participant_oof,5,63.6 ± 5.0,"[57.3, 69.8]"
inception_full__b6_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,56.0 ± 3.8,"[51.3, 60.7]"
inception_full__b6_star_fixed10,abstention_aware_macro_f1,participant_oof,5,56.2 ± 4.7,"[50.4, 62.1]"
compact_cnn__b7_star_fixed10,balanced_accuracy,participant_oof,5,53.8 ± 6.8,"[45.3, 62.2]"
compact_cnn__b7_star_fixed10,macro_f1,participant_oof,5,52.9 ± 6.6,"[44.7, 61.2]"
compact_cnn__b7_star_fixed10,macro_roc_auc_ovr,participant_oof,5,69.2 ± 4.3,"[63.8, 74.6]"
compact_cnn__b7_star_fixed10,macro_pr_auc_ovr,participant_oof,5,61.0 ± 7.0,"[52.3, 69.7]"
compact_cnn__b7_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,53.8 ± 6.8,"[45.3, 62.2]"
compact_cnn__b7_star_fixed10,abstention_aware_macro_f1,participant_oof,5,52.9 ± 6.6,"[44.7, 61.2]"
inception_full__b7_star_fixed10,balanced_accuracy,participant_oof,5,56.8 ± 2.4,"[53.8, 59.7]"
inception_full__b7_star_fixed10,macro_f1,participant_oof,5,57.2 ± 2.5,"[54.2, 60.3]"
inception_full__b7_star_fixed10,macro_roc_auc_ovr,participant_oof,5,72.8 ± 2.5,"[69.7, 76.0]"
inception_full__b7_star_fixed10,macro_pr_auc_ovr,participant_oof,5,64.6 ± 4.0,"[59.6, 69.5]"
inception_full__b7_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,56.8 ± 2.4,"[53.8, 59.7]"
inception_full__b7_star_fixed10,abstention_aware_macro_f1,participant_oof,5,57.2 ± 2.5,"[54.2, 60.3]"
