case_id,class_label,class_name,metric,n,mean_sd
compact_cnn__b3_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,57.1 ± 3.5
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,53.4 ± 10.0
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,f1,5,48.4 ± 13.6
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,recall,5,55.0 ± 19.2
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,specificity,5,51.8 ± 9.7
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,56.1 ± 2.3
compact_cnn__b3_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,48.8 ± 3.7
compact_cnn__b3_star_fixed10,2,Young,balanced_accuracy_ovr,5,67.1 ± 9.1
compact_cnn__b3_star_fixed10,2,Young,f1,5,50.7 ± 17.0
compact_cnn__b3_star_fixed10,2,Young,recall,5,40.0 ± 16.3
compact_cnn__b3_star_fixed10,2,Young,specificity,5,94.3 ± 5.2
compact_cnn__b3_star_fixed10,2,Young,roc_auc_ovr,5,72.5 ± 6.3
compact_cnn__b3_star_fixed10,2,Young,pr_auc_ovr,5,67.3 ± 6.5
compact_cnn__b4_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,56.3 ± 4.7
compact_cnn__b4_star_fixed10,0,Pre-Frail,f1,5,41.4 ± 7.5
compact_cnn__b4_star_fixed10,0,Pre-Frail,recall,5,46.7 ± 14.5
compact_cnn__b4_star_fixed10,0,Pre-Frail,specificity,5,66.0 ± 10.2
compact_cnn__b4_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,60.8 ± 10.6
compact_cnn__b4_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,45.7 ± 10.3
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,53.4 ± 4.6
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,f1,5,43.5 ± 9.4
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,recall,5,43.3 ± 14.9
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,specificity,5,63.5 ± 11.3
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,53.0 ± 8.0
compact_cnn__b4_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,50.8 ± 10.0
compact_cnn__b4_star_fixed10,2,Young,balanced_accuracy_ovr,5,61.9 ± 5.7
compact_cnn__b4_star_fixed10,2,Young,f1,5,43.5 ± 9.5
compact_cnn__b4_star_fixed10,2,Young,recall,5,40.0 ± 10.5
compact_cnn__b4_star_fixed10,2,Young,specificity,5,83.8 ± 2.6
compact_cnn__b4_star_fixed10,2,Young,roc_auc_ovr,5,64.6 ± 5.7
compact_cnn__b4_star_fixed10,2,Young,pr_auc_ovr,5,58.8 ± 6.9
compact_cnn__b5_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,64.6 ± 5.0
compact_cnn__b5_star_fixed10,0,Pre-Frail,f1,5,51.3 ± 7.0
compact_cnn__b5_star_fixed10,0,Pre-Frail,recall,5,51.1 ± 6.1
compact_cnn__b5_star_fixed10,0,Pre-Frail,specificity,5,78.0 ± 7.6
compact_cnn__b5_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,74.0 ± 3.5
