case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
compact_cnn__b5_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,52.3 ± 3.2,53.4 ± 4.1,0.4305555555555555,0.4490920060331825,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b5_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,52.3 ± 3.2,53.4 ± 4.1,0.4305555555555555,0.4490920060331825,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b5_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,48.6 ± 3.9,49.5 ± 4.5,0.39722222222222225,0.4330065359477124,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b6_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.2 ± 6.1,48.7 ± 6.0,0.3805555555555556,0.41079365079365077,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b6_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,49.2 ± 6.1,48.7 ± 6.0,0.3805555555555556,0.41079365079365077,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b6_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.6 ± 2.9,49.1 ± 2.4,0.3972222222222222,0.4211399711399711,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b7_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.8 ± 6.1,52.9 ± 5.9,0.4,0.44403162055335976,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b7_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,53.8 ± 6.1,52.9 ± 5.9,0.4,0.44403162055335976,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b7_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,54.7 ± 6.4,54.0 ± 6.5,0.41666666666666663,0.4783126847576975,5,145,same_fitted_oof_report_reaggregation
inception_full__b0_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,56.8 ± 2.1,57.2 ± 2.2,0.45555555555555555,0.4662898550724638,5,145,same_fitted_oof_report_reaggregation
