model,profile,factor_id,reference_profile,native_aggregation_view,comparison_type,repeat_count,passed_cell_count,changed_control_paths,single_factor_audit,contrast_metrics_available,inference,native_balanced_accuracy_mean_sd,delta_vs_B0_balanced_accuracy_mean_sd,native_macro_f1_mean_sd,delta_vs_B0_macro_f1_mean_sd,native_worst_class_f1_mean_sd,delta_vs_B0_worst_class_f1_mean_sd,repeat_metrics_complete
InceptionTimeFull,B0,baseline,B0,window_balanced_to_participant,baseline,5,25,[],baseline_no_contrast,True,descriptive_repeat_mean_population_sd,56.8 ± 2.1,0.0 ± 0.0,57.2 ± 2.2,0.0 ± 0.0,46.6 ± 3.4,0.0 ± 0.0,True
InceptionTimeFull,B1,sampling_rate,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.target_fs_hz""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,50.3 ± 2.0,-6.5 ± 3.5,50.4 ± 2.0,-6.8 ± 3.1,43.4 ± 6.6,-3.3 ± 9.3,True
InceptionTimeFull,B2,window_plan,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.hop_seconds"", ""controls.window_seconds""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,50.9 ± 4.3,-5.8 ± 4.7,51.8 ± 3.7,-5.4 ± 3.9,41.6 ± 6.6,-5.0 ± 7.1,True
InceptionTimeFull,B3,imu_preprocessing,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.imu_preprocessing""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,49.7 ± 5.3,-7.0 ± 5.9,50.3 ± 6.6,-6.9 ± 7.1,40.3 ± 7.8,-6.3 ± 10.1,True
InceptionTimeFull,B4,normalization,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.normalization""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,43.0 ± 6.6,-13.8 ± 6.3,43.1 ± 6.5,-14.2 ± 5.9,34.7 ± 10.7,-12.0 ± 9.8,True
InceptionTimeFull,B5,sampler,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.sampler""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,52.3 ± 3.3,-4.4 ± 2.8,52.1 ± 3.4,-5.2 ± 2.3,43.1 ± 5.2,-3.6 ± 3.0,True
InceptionTimeFull,B6,optimizer_and_batch_size,B0,window_balanced_to_participant,within_model_B0_centered_ablation,5,25,"[""controls.batch_size"", ""controls.optimizer""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,56.0 ± 3.4,-0.7 ± 5.0,56.2 ± 4.2,-1.0 ± 5.7,49.2 ± 5.8,2.5 ± 8.0,True
InceptionTimeFull,B7,primary_aggregation,B0,line_b_equal_role_families,within_model_B0_centered_ablation,5,25,"[""controls.primary_report_aggregation_view""]",pass_exact_declared_paths,True,descriptive_repeat_mean_population_sd,57.3 ± 3.3,0.6 ± 1.9,57.9 ± 4.0,0.7 ± 2.4,47.0 ± 7.3,0.4 ± 6.6,True
