descriptive_rank,overfit_config_id,overfit_config_name,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
58,s1_127,main_effect_dropout-0p6_lr0.001_wd0.0005_do0.6_ls0.1_mw90_ep12,stage1,main_effect,dropout,0.6,12,0.001,0.0005,0.6,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5447399356117778,0.028049780194178864,0.5099115333871369,0.5795683378364187,two_sided_student_t_0.95,5,0.5415973314757931,0.01964642329269617,0.5172030749797805,0.5659915879718058,two_sided_student_t_0.95,5,0.5681481481481481,0.03030622177357813,0.530518003650317,0.6057782926459792,two_sided_student_t_0.95,5,0.5643494742088465,0.01846884652971463,0.5414173723845492,0.5872815760331438,two_sided_student_t_0.95,5,0.5796296296296297,0.03766823260519999,0.5328583413277876,0.6264009179314718,two_sided_student_t_0.95,5,0.5779897933238894,0.03902953986307822,0.5295282188094464,0.6264513678383324,two_sided_student_t_0.95,5,166.13033183384687,0.760057159776559,165.1865962219753,167.07406744571844,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
59,s1_150,main_effect_weight_decay-0p0_lr0.001_wd0_do0.2_ls0.1_mw90_ep15,stage1,main_effect,weight_decay,0.0,15,0.001,0.0,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5510770841338175,0.03154561746289311,0.5119080266290351,0.5902461416385999,two_sided_student_t_0.95,5,0.555490719020628,0.02804481216836074,0.5206684854147875,0.5903129526264684,two_sided_student_t_0.95,5,0.5774074074074074,0.051936934163613314,0.5129191860793695,0.6418956287354453,two_sided_student_t_0.95,5,0.5822298113916512,0.04608316886927177,0.5250099996835319,0.6394496230997705,two_sided_student_t_0.95,5,0.5796296296296296,0.06550557835490371,0.49829371130482975,0.6609655479544294,two_sided_student_t_0.95,5,0.5856738171051896,0.07048261274977483,0.49815809435445646,0.6731895398559228,two_sided_student_t_0.95,5,201.79851884357632,0.7838293737047577,200.82526612951253,202.7717715576401,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
60,s1_104,strong_combo_combined_regularization-wd0p005_do0p4_ls0p15_mw0p9_lr0.001_wd0.005_do0.4_ls0.15_mw90_ep10,stage1,strong_combo,combined_regularization,wd0.005_do0.4_ls0.15_mw0.9,10,0.001,0.005,0.4,0.15,0.9,5,"42,10042,20042,30042,40042",5,0.532932770013687,0.018216676239730514,0.5103137789598796,0.5555517610674944,two_sided_student_t_0.95,5,0.5375000697283171,0.018607459904784393,0.5143958566665262,0.560604282790108,two_sided_student_t_0.95,5,0.5688888888888889,0.02883482595627499,0.5330857236045108,0.604692054173267,two_sided_student_t_0.95,5,0.5711212305515592,0.037515912565939585,0.5245390725586717,0.6177033885444466,two_sided_student_t_0.95,5,0.5796296296296296,0.0650129247464517,0.4989054215540298,0.6603538377052294,two_sided_student_t_0.95,5,0.5783985984966378,0.08555594763601632,0.4721668584847897,0.6846303385084859,two_sided_student_t_0.95,5,133.50803018752487,1.706948092463986,131.38857419430974,135.62748618074,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
61,s1_086,main_effect_dropout-0p1_lr0.001_wd0.0005_do0.1_ls0.1_mw90_ep10,stage1,main_effect,dropout,0.1,10,0.001,0.0005,0.1,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5410698316538944,0.019561479200868946,0.5167810471785637,0.5653586161292252,two_sided_student_t_0.95,5,0.5497215754858082,0.025608234499510836,0.517924752650206,0.5815183983214105,two_sided_student_t_0.95,5,0.5650000000000001,0.024378418124094837,0.5347301958821533,0.5952698041178468,two_sided_student_t_0.95,5,0.5748425461171118,0.03170750634934464,0.5354724770103132,0.6142126152239105,two_sided_student_t_0.95,5,0.5787037037037037,0.06423350428477598,0.49894727395483,0.6584601334525775,two_sided_student_t_0.95,5,0.5898136621126705,0.06631665133055509,0.5074706636740883,0.6721566605512527,two_sided_student_t_0.95,5,145.5415358653292,0.7132910874626391,144.6558680017872,146.42720372887118,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
62,s1_080,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.2_ls0.1_mw90_ep10,stage1,main_effect,weight_decay,0.001,10,0.001,0.001,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5401953369433454,0.016404591206838445,0.519826346636564,0.5605643272501268,two_sided_student_t_0.95,5,0.5456914170590303,0.012420653883792987,0.5302691382973748,0.5611136958206859,two_sided_student_t_0.95,5,0.5622222222222223,0.03517543724617415,0.518546148172572,0.6058982962718725,two_sided_student_t_0.95,5,0.5705404657201076,0.0277463527919274,0.5360888183769108,0.6049921130633045,two_sided_student_t_0.95,5,0.5787037037037037,0.023832477178210663,0.5491117748035067,0.6082956326039007,two_sided_student_t_0.95,5,0.585971319610661,0.013004542902440274,0.5698240468756045,0.6021185923457174,two_sided_student_t_0.95,5,143.8987354326993,0.4874779820791169,143.29345157243466,144.50401929296396,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
63,s1_121,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.2_ls0.1_mw90_ep12,stage1,main_effect,weight_decay,0.02,12,0.001,0.02,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5404108614456062,0.04025597668965816,0.4904264644775277,0.5903952584136848,two_sided_student_t_0.95,5,0.5416620040269753,0.037145176833853474,0.49554017524546684,0.5877838328084837,two_sided_student_t_0.95,5,0.5638888888888888,0.04651798772992766,0.5061291782557531,0.6216485995220244,two_sided_student_t_0.95,5,0.5651402421462721,0.044852226136298835,0.5094488477135358,0.6208316365790084,two_sided_student_t_0.95,5,0.5787037037037036,0.061680150900343636,0.5021176809269713,0.6552897264804359,two_sided_student_t_0.95,5,0.5800205286206094,0.061689903633000476,0.5034223962268529,0.6566186610143658,two_sided_student_t_0.95,5,166.454527349025,0.4268185448101306,165.92456212816853,166.98449256988147,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
64,s1_120,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.2_ls0.1_mw90_ep12,stage1,main_effect,weight_decay,0.01,12,0.001,0.01,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.54003191773267,0.02984727065475199,0.5029716363160207,0.5770921991493193,two_sided_student_t_0.95,5,0.5414655769418941,0.026512297053078695,0.5085462121814025,0.5743849417023857,two_sided_student_t_0.95,5,0.5646296296296296,0.03849781316718769,0.5168282810103577,0.6124309782489015,two_sided_student_t_0.95,5,0.5637552046115132,0.032553163702240144,0.523335113214808,0.6041752960082184,two_sided_student_t_0.95,5,0.5787037037037036,0.053890957068624096,0.5117892424828483,0.6456181649245589,two_sided_student_t_0.95,5,0.5789632187557885,0.052060103540066224,0.5143220624473278,0.6436043750642492,two_sided_student_t_0.95,5,165.96291705444455,0.4465366837075032,165.40846853040765,166.51736557848145,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
65,s1_031,strong_combo_combined_regularization-wd0p005_do0p5_ls0p2_mw0p9_lr0.001_wd0.005_do0.5_ls0.2_mw90_ep5,stage1,strong_combo,combined_regularization,wd0.005_do0.5_ls0.2_mw0.9,5,0.001,0.005,0.5,0.2,0.9,5,"42,10042,20042,30042,40042",5,0.5390366548205147,0.03656477517207839,0.49363548988693,0.5844378197540994,two_sided_student_t_0.95,5,0.5431113360199102,0.04065320031175624,0.4926337207810364,0.5935889512587841,two_sided_student_t_0.95,5,0.5614814814814815,0.052877585938185596,0.49582528671011067,0.6271376762528522,two_sided_student_t_0.95,5,0.5664842296522214,0.05794017689655577,0.49454199795021053,0.6384264613542324,two_sided_student_t_0.95,5,0.5777777777777778,0.06639928375669367,0.4953321776305752,0.6602233779249805,two_sided_student_t_0.95,5,0.5858772426179883,0.06855420230478951,0.5007559576905536,0.6709985275454231,two_sided_student_t_0.95,5,65.8429352434352,0.3773299433479692,65.37441823733576,66.31145224953465,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
66,s1_033,strong_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p9_lr0.001_wd0.01_do0.6_ls0.3_mw90_ep5,stage1,strong_combo,combined_regularization,wd0.01_do0.6_ls0.3_mw0.9,5,0.001,0.01,0.6,0.3,0.9,5,"42,10042,20042,30042,40042",5,0.5421067789707436,0.037563143856461506,0.4954659755848263,0.5887475823566608,two_sided_student_t_0.95,5,0.5455620893215445,0.04032461409237391,0.49549246776158357,0.5956317108815055,two_sided_student_t_0.95,5,0.5572222222222223,0.050027427319671046,0.4951049667966312,0.6193394776478134,two_sided_student_t_0.95,5,0.5590376069510797,0.05387229698371293,0.49214631528586206,0.6259288986162974,two_sided_student_t_0.95,5,0.5777777777777778,0.030429030972509208,0.5399951455189858,0.6155604100365699,two_sided_student_t_0.95,5,0.5780598064434381,0.0320830062045951,0.5382234926850443,0.6178961202018319,two_sided_student_t_0.95,5,65.61742715239525,0.10285732761249795,65.48971291174736,65.74514139304314,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
67,s1_056,main_effect_label_smoothing-0p03_lr0.001_wd0.0005_do0.2_ls0.03_mw90_ep8,stage1,main_effect,label_smoothing,0.03,8,0.001,0.0005,0.2,0.03,0.9,5,"42,10042,20042,30042,40042",5,0.5264735065400767,0.02002681136329448,0.5016069358714559,0.5513400772086976,two_sided_student_t_0.95,5,0.5328968107440112,0.019735008583874298,0.5083925610811721,0.5574010604068502,two_sided_student_t_0.95,5,0.5531481481481482,0.030866820876166896,0.5148219279272073,0.5914743683690891,two_sided_student_t_0.95,5,0.5597386181100072,0.03313410128594629,0.5185971974304107,0.6008800387896038,two_sided_student_t_0.95,5,0.5777777777777777,0.053631816509535475,0.5111850820596171,0.6443704734959383,two_sided_student_t_0.95,5,0.5885946221198703,0.05887836545583198,0.5154874754602795,0.6617017687794612,two_sided_student_t_0.95,5,103.96802959926427,0.35207698585150876,103.53086828133635,104.40519091719219,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
