model,class,precision_n_repeats,precision_mean,precision_sample_sd,precision_repeat_t_ci95_low,precision_repeat_t_ci95_high,precision_repeat_t_ci95_method,recall_n_repeats,recall_mean,recall_sample_sd,recall_repeat_t_ci95_low,recall_repeat_t_ci95_high,recall_repeat_t_ci95_method,f1_n_repeats,f1_mean,f1_sample_sd,f1_repeat_t_ci95_low,f1_repeat_t_ci95_high,f1_repeat_t_ci95_method
CNN1D,pre_frail,5,0.6778787878787877,0.04812365462086138,0.6181253784740719,0.7376321972835036,two_sided_student_t_0.95,5,0.7333333333333333,0.060858061945018485,0.6577680688157491,0.8088985978509174,two_sided_student_t_0.95,5,0.7018782249742002,0.024926969642280722,0.670927304185062,0.7328291457633384,two_sided_student_t_0.95
CNN1D,robust_non_frail,5,0.641042291042291,0.05350119566236825,0.5746117825274729,0.7074727995571092,two_sided_student_t_0.95,5,0.65,0.06972166887783961,0.5634291138597026,0.7365708861402974,two_sided_student_t_0.95,5,0.6439977703455965,0.049860860404356576,0.5820873350620432,0.7059082056291497,two_sided_student_t_0.95
CNN1D,young,5,0.858095238095238,0.16393682760963754,0.6545407812726138,1.0616496949178622,two_sided_student_t_0.95,5,0.725,0.10458250331675945,0.5951436707895538,0.8548563292104462,two_sided_student_t_0.95,5,0.7767032967032967,0.10140951381739637,0.6507867543208883,0.9026198390857052,two_sided_student_t_0.95
InceptionTime,pre_frail,5,0.6872727272727273,0.07430115178800929,0.5950156620724827,0.7795297924729718,two_sided_student_t_0.95,5,0.8222222222222222,0.06085806194501842,0.7466569577046381,0.8977874867398062,two_sided_student_t_0.95,5,0.7484210526315789,0.06795387061717646,0.6640451779476341,0.8327969273155237,two_sided_student_t_0.95
InceptionTime,robust_non_frail,5,0.6951282051282052,0.10434511342461135,0.5655666344003767,0.8246897758560336,two_sided_student_t_0.95,5,0.6333333333333333,0.09501461875826149,0.5153571019181438,0.7513095647485228,two_sided_student_t_0.95,5,0.6606666666666667,0.08894865988591656,0.5502223179978526,0.7711110153354809,two_sided_student_t_0.95
InceptionTime,young,5,0.8222222222222222,0.1050426133399391,0.6917945909607811,0.9526498534836633,two_sided_student_t_0.95,5,0.725,0.10458250331675945,0.5951436707895538,0.8548563292104462,two_sided_student_t_0.95,5,0.7614091790562378,0.040003313144244414,0.711738505316158,0.8110798527963177,two_sided_student_t_0.95
ShapeFormer-PISD,pre_frail,5,0.6199145299145299,0.11585201313455874,0.47606525608591843,0.7637638037431413,two_sided_student_t_0.95,5,0.7555555555555555,0.049690399499995354,0.6938567754400489,0.8172543356710622,two_sided_student_t_0.95,5,0.6778157514999619,0.08160473203433485,0.5764900936498627,0.779141409350061,two_sided_student_t_0.95
ShapeFormer-PISD,robust_non_frail,5,0.656111111111111,0.09599221933489978,0.5369210282552864,0.7753011939669355,two_sided_student_t_0.95,5,0.5166666666666667,0.10865337342004412,0.3817556846076079,0.6515776487257255,two_sided_student_t_0.95,5,0.577056277056277,0.10391413984865644,0.44802983070188895,0.7060827234106651,two_sided_student_t_0.95
ShapeFormer-PISD,young,5,0.5555555555555556,0.06804138174397716,0.47107102145602014,0.6400400896550911,two_sided_student_t_0.95,5,0.575,0.06846531968814576,0.48998907741771786,0.6600109225822821,two_sided_student_t_0.95,5,0.5606909430438842,0.03654600521154235,0.5153130840945449,0.6060688019932235,two_sided_student_t_0.95
