source_study,epoch,factor,best_observed_value,best_observed_config_id,baseline_config_id,baseline_subject_ba_mean,candidate_subject_ba_mean,descriptive_delta_ba,candidate_subject_ba_repeat_t_ci95_low,candidate_subject_ba_repeat_t_ci95_high,interpretation
20260625_2320_overfitting_sweep_stage1_rank2,15,class_weight_mode,effective_number,s1_108,s1_085,0.4888888888888888,0.5212962962962963,0.03240740740740744,0.440551623216419,0.6020409693761735,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,combined_regularization,wd0.01_do0.6_ls0.2_mw0.9,s1_119,s1_085,0.4888888888888888,0.5398148148148147,0.05092592592592593,0.4528630606405207,0.6267665689891089,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,dropout,0.3,s1_090,s1_085,0.4888888888888888,0.5694444444444444,0.0805555555555556,0.5104003362081467,0.6284885526807421,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,label_smoothing,0.15,s1_096,s1_085,0.4888888888888888,0.562037037037037,0.07314814814814818,0.49641910404144485,0.6276549700326292,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,loss_type,focal_loss,s1_107,s1_085,0.4888888888888888,0.537037037037037,0.04814814814814816,0.4293399650444554,0.6447341090296186,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,manual_features,morphology,s1_104,s1_085,0.4888888888888888,0.41759259259259257,-0.07129629629629625,0.3576597178041055,0.47752546738107965,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,manual_loss,morphology_ppi_hrv_filelevel_balanced_softmax,s1_125,s1_085,0.4888888888888888,0.4148148148148148,-0.07407407407407401,0.3309584272285209,0.4986712024011087,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,max_windows_fraction,0.7,s1_099,s1_085,0.4888888888888888,0.5731481481481481,0.08425925925925926,0.5030501166649263,0.6432461796313699,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,sqi_aggregation,top50_quality_quality_weighted_mean,s1_122,s1_085,0.4888888888888888,0.6101851851851852,0.12129629629629635,0.5338801336663485,0.6864902367040219,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,sqi_mode,top50_quality,s1_102,s1_085,0.4888888888888888,0.6101851851851852,0.12129629629629635,0.5843491407628632,0.6360212296075072,best_observed_post_hoc_factor_signal_not_confirmatory
20260625_2320_overfitting_sweep_stage1_rank2,15,weight_decay,0.001,s1_086,s1_085,0.4888888888888888,0.5527777777777778,0.063888888888889,0.44728168398755896,0.6582738715679967,best_observed_post_hoc_factor_signal_not_confirmatory
