true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.6,0.37777777777777777,0.022222222222222223
Robust/Non-Frail,0.43333333333333335,0.48333333333333334,0.08333333333333333
Young,0.15,0.125,0.725
