classifier_id,prediction_score_status,roc_auc_curve_status,prediction_tsne_status,prediction_row_count,roc_curve_point_count,tsne_point_count
frailty29_trained_motion_detector,available,available,available,38090,3184,4322
ptt22_trained_motion_detector,available,available,available,38090,2010,4322
