history_path,fold_index,final_fit,data_scope,epoch,outer_heldout_used,training_balanced_accuracy,training_loss,used_for_epoch_selection_or_checkpoint
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,1,False,0.98416697403457,0.09997389126225888,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,2,False,0.9861885144895195,0.044521894187823374,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,3,False,0.9942626061542073,0.027795634482649555,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,4,False,0.9945837985957076,0.026398695732749018,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,5,False,0.995409621766251,0.022105109442065188,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,6,False,0.995018394354985,0.013209457001609411,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,7,False,0.9958602174985811,0.01732300225755777,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,8,False,0.995830533338049,0.010057125421778966,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,9,False,0.9983970553312752,0.012563752111344155,False
motion_internal/repeat_0/fold_3/motion_training_history.json,3,False,outer_training_frailty29_participants_only,10,False,0.9969478647895611,0.007189831638597008,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,1,False,0.9905548864802176,0.08243135876093657,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,2,False,0.9871166050526206,0.03333328861790866,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,3,False,0.9894865155792445,0.031433747565090854,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,4,False,0.9912992663817319,0.02779245652096486,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,5,False,0.9940043191634462,0.024763135986610802,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,6,False,0.9956240054557854,0.022864314645970954,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,7,False,0.9950217032992132,0.01856466898572314,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,8,False,0.9955217632204181,0.015235685285219437,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,9,False,0.9955615987299928,0.01352453582018437,False
motion_internal/repeat_0/fold_4/motion_training_history.json,4,False,outer_training_frailty29_participants_only,10,False,0.9972152761991362,0.014872589128579312,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,1,False,1.0,0.023136301547229635,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,2,False,1.0,0.0004064104981618155,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,3,False,1.0,0.00010899048129098433,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,4,False,1.0,4.326240007712926e-05,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,5,False,1.0,1.991359838283059e-05,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,6,False,1.0,9.838276640868258e-06,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,7,False,1.0,5.131073580221554e-06,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,8,False,1.0,2.7585120332361357e-06,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,9,False,1.0,1.560211731806506e-06,False
motion_ptt_training/final_all_ptt/motion_training_history.json,-1,True,all_22_ptt_participants,10,False,1.0,8.137061493812745e-07,False
motion_ptt_training/repeat_0/fold_0/motion_training_history.json,0,False,outer_training_ptt_participants_only,1,False,1.0,0.029213653991126257,False
motion_ptt_training/repeat_0/fold_0/motion_training_history.json,0,False,outer_training_ptt_participants_only,2,False,1.0,0.0007587841776576917,False
motion_ptt_training/repeat_0/fold_0/motion_training_history.json,0,False,outer_training_ptt_participants_only,3,False,1.0,0.00022199692409935034,False
motion_ptt_training/repeat_0/fold_0/motion_training_history.json,0,False,outer_training_ptt_participants_only,4,False,1.0,9.584214066278972e-05,False
motion_ptt_training/repeat_0/fold_0/motion_training_history.json,0,False,outer_training_ptt_participants_only,5,False,1.0,4.7951855603560754e-05,False
