true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.8222222222222222,0.15555555555555556,0.022222222222222223
Robust/Non-Frail,0.26666666666666666,0.6333333333333333,0.1
Young,0.025,0.25,0.725
