true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.7555555555555555,0.2222222222222222,0.022222222222222223
Robust/Non-Frail,0.2833333333333333,0.6333333333333333,0.08333333333333333
Young,0.05,0.2,0.75
