true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.8,0.15555555555555556,0.044444444444444446
Robust/Non-Frail,0.23333333333333334,0.5666666666666667,0.2
Young,0.05,0.2,0.75
