true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.7111111111111111,0.28888888888888886,0.0
Robust/Non-Frail,0.31666666666666665,0.6166666666666667,0.06666666666666667
Young,0.0,0.225,0.775
