dataset,aggregation_level,true_static_predicted_static,true_static_predicted_motion,true_motion_predicted_static,true_motion_predicted_motion
frailty29_outer_oof,window,20777,490,37,481
frailty29_trained_to_ptt22,window,5331,0,4358,6294
