true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.7111111111111111,0.13333333333333333,0.15555555555555556
Robust/Non-Frail,0.31666666666666665,0.48333333333333334,0.2
Young,0.25,0.275,0.475
