true_class,Pre-Frail,Robust/Non-Frail,Young
Pre-Frail,0.6888888888888889,0.2,0.1111111111111111
Robust/Non-Frail,0.3333333333333333,0.4666666666666667,0.2
Young,0.15,0.275,0.575
