case_id,class_order,confusion_matrix,metric_source
b16_lr1e-4,"[0, 1, 2]","[[6, 4, 0], [4, 7, 2], [1, 4, 3]]",participant_oof_pooled_repeats
b16_lr3e-4,"[0, 1, 2]","[[6, 4, 0], [5, 6, 2], [2, 2, 4]]",participant_oof_pooled_repeats
b16_lr1e-3,"[0, 1, 2]","[[7, 3, 0], [4, 8, 1], [1, 3, 4]]",participant_oof_pooled_repeats
b32_lr1e-4,"[0, 1, 2]","[[5, 3, 2], [4, 7, 2], [2, 3, 3]]",participant_oof_pooled_repeats
b32_lr3e-4,"[0, 1, 2]","[[4, 5, 1], [1, 10, 2], [2, 2, 4]]",participant_oof_pooled_repeats
b32_lr1e-3,"[0, 1, 2]","[[4, 6, 0], [3, 7, 3], [2, 2, 4]]",participant_oof_pooled_repeats
