predictive_rank,case_id,status,is_reference,changed_values,complete_for_requested_execution,incompleteness_reasons,expected_repeat_count,expected_fold_cell_count,passed_fold_cell_count,metric_source,participant_balanced_accuracy_mean_sd,participant_balanced_accuracy_repeat_ci95,participant_macro_f1_mean_sd,participant_macro_f1_repeat_ci95,participant_macro_roc_auc_ovr_mean_sd,participant_macro_roc_auc_ovr_repeat_ci95,participant_macro_pr_auc_ovr_mean_sd,participant_macro_pr_auc_ovr_repeat_ci95,participant_abstention_aware_balanced_accuracy_mean_sd,participant_abstention_aware_balanced_accuracy_repeat_ci95,participant_mean_abstention_aware_macro_precision,participant_mean_abstention_aware_macro_recall,participant_abstention_aware_macro_f1_mean_sd,participant_abstention_aware_macro_f1_repeat_ci95,primary_ranking_metric,primary_ranking_metric_source,frailty_classification_evaluation_scope,auxiliary_motion_evidence_valid_outer_oof,ranking_interpretation,participant_mean_coverage_rate,abstention_count,abstention_counts_by_class,balanced_accuracy_lcb95,macro_f1_lcb95,participant_cluster_balanced_accuracy_ci95_low,participant_cluster_balanced_accuracy_ci95_high,participant_cluster_balanced_accuracy_ci95,participant_cluster_macro_f1_ci95_low,participant_cluster_macro_f1_ci95_high,participant_cluster_macro_f1_ci95,participant_cluster_bootstrap_resamples,participant_cluster_bootstrap_seed,worst_fold_balanced_accuracy,worst_fold_abstention_aware_balanced_accuracy,worst_class_recall,worst_class_f1,abstention_aware_worst_class_recall,abstention_aware_worst_class_f1,expected_calibration_error,repeat_count,fold_cell_count,subject_oof_prediction_count,ci_method,conditional_ci_method,repeat_ci95_method,decision
1,b16_lr1e-3,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 16, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.001, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,62.2 ± 21.3,"[35.8, 88.7]",55.7 ± 22.7,"[27.5, 83.8]",77.4 ± 11.7,"[62.9, 91.8]",76.6 ± 7.7,"[67.1, 86.1]",62.2 ± 21.3,"[35.8, 88.7]",0.5455555555555556,0.6222222222222222,55.7 ± 22.7,"[27.5, 83.8]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.4191469008108507,0.3405283906881239,,,N/A,,,N/A,,,0.3333333333333333,0.3333333333333333,0.5,0.5925925925925926,0.5,0.5925925925925927,0.169633395694954,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
2,b32_lr3e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 32, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.0003, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,58.9 ± 18.7,"[35.7, 82.1]",50.3 ± 23.9,"[20.6, 80.0]",70.2 ± 12.4,"[54.8, 85.6]",70.8 ± 11.8,"[56.1, 85.5]",58.9 ± 18.7,"[35.7, 82.1]",0.5288888888888889,0.5888888888888888,50.3 ± 23.9,"[20.6, 80.0]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.41084064126594244,0.274633933696792,,,N/A,,,N/A,,,0.3333333333333333,0.3333333333333333,0.4,0.47058823529411764,0.4,0.47058823529411764,0.2823290644094943,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
3,b16_lr3e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 16, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.0003, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,55.6 ± 26.1,"[23.2, 87.9]",48.8 ± 28.4,"[13.5, 84.1]",71.9 ± 13.6,"[55.1, 88.8]",71.7 ± 11.8,"[57.0, 86.4]",55.6 ± 26.1,"[23.2, 87.9]",0.5244444444444445,0.5555555555555556,48.8 ± 28.4,"[13.5, 84.1]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.30712224750638983,0.21702369330246873,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.46153846153846156,0.48,0.46153846153846156,0.48000000000000004,0.27514147092543,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
4,b16_lr1e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 16, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.0001, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,54.4 ± 25.9,"[22.3, 86.6]",47.9 ± 25.9,"[15.7, 80.1]",73.4 ± 14.0,"[56.1, 90.8]",73.1 ± 12.1,"[58.0, 88.1]",54.4 ± 25.9,"[22.3, 86.6]",0.5022222222222222,0.5444444444444444,47.9 ± 25.9,"[15.7, 80.1]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.29771081410440436,0.23216316217093041,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.375,0.46153846153846156,0.375,0.4615384615384615,0.19357705138299475,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
5,b32_lr1e-4,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 32, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.0001, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,52.2 ± 13.4,"[35.6, 68.8]",44.5 ± 18.3,"[21.8, 67.2]",77.6 ± 10.9,"[64.1, 91.2]",76.2 ± 11.2,"[62.3, 90.1]",52.2 ± 13.4,"[35.6, 68.8]",0.51,0.5222222222222221,44.5 ± 18.3,"[21.8, 67.2]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.39466281902301037,0.2707367594632315,,,N/A,,,N/A,,,0.3333333333333333,0.3333333333333333,0.375,0.4,0.375,0.39999999999999997,0.341816823964229,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
6,b32_lr1e-3,passed,False,"{""aggregation.balance_line"": ""line_b_equal_role_families"", ""signal.dl_resampling.enabled"": true, ""signal.dl_resampling.target_fs_hz"": 64.0, ""signal.normalization.raw_imu"": ""none"", ""signal.normalization.raw_ppg"": ""per_window_median_iqr_over_1p349_sd_finite"", ""study.catalog_entry"": ""inception_full"", ""study.screen_profile_id"": ""v2_core_b0_b2_b7_selected"", ""training.batch_size"": 32, ""training.class_count_basis"": ""row"", ""training.class_weighting"": ""outer_train_window_inverse_frequency"", ""training.fixed_epochs"": 5, ""training.learning_rate"": 0.001, ""training.optimizer"": ""adamw"", ""training.sampler"": ""exhaustive_shuffle_without_replacement"", ""windows.raw_dl.hop_s"": 2.5, ""windows.raw_dl.length_s"": 5.0}",True,[],5,5,5,participant_oof,51.1 ± 23.4,"[22.1, 80.1]",43.6 ± 24.2,"[13.6, 73.6]",77.6 ± 9.0,"[66.4, 88.8]",77.6 ± 10.1,"[65.0, 90.1]",51.1 ± 23.4,"[22.1, 80.1]",0.43,0.5111111111111111,43.6 ± 24.2,"[13.6, 73.6]",participant_mean_abstention_aware_balanced_accuracy,participant_oof_complete_roster_recomputation,outer_heldout_participant_oof,,not_applicable_no_auxiliary_motion_evidence,1.0,0,"[[0, 0], [1, 0], [2, 0]]",0.2882752337459673,0.2059112794910731,,,N/A,,,N/A,,,0.16666666666666666,0.16666666666666666,0.4,0.42105263157894735,0.4,0.4210526315789474,0.29736358897273363,5,5,31,repeat_student_t_abstention_aware_primary,repeat_student_t_conditional,two_sided_student_t_0.95,manual_review_only_no_automatic_winner
