case_id,mean_coverage_rate,minimum_coverage_rate,reported_cell_count,quality_diagnostic_row_count
b16_lr1e-4,1.0,1.0,5,725
b16_lr3e-4,1.0,1.0,5,725
b16_lr1e-3,1.0,1.0,5,725
b32_lr1e-4,1.0,1.0,5,725
b32_lr3e-4,1.0,1.0,5,725
b32_lr1e-3,1.0,1.0,5,725
