case_id,selected_attempt,selected_case_status,selected_artifact_root,observed_attempt_count,excluded_attempts,planned_cell_count,observed_cell_count,declared_seed_policies,runtime_seed_policies,split_seeds,model_seeds,training_orchestration_seeds,evaluation_statistics_seeds,split_identity_sha256,audit_status
b16_lr1e-4,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
b16_lr3e-4,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
b16_lr1e-3,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
b32_lr1e-4,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
b32_lr3e-4,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
b32_lr1e-3,1,passed,attempts/attempt_001/experiment,1,[],5,5,"[""outer_cv_repeat_seed_equals_split_seed""]","[""outer_cv_repeat_seed_equals_split_seed""]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]","[42, 10042, 20042, 30042, 40042]",[42],"[""0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7"", ""317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9"", ""3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a"", ""74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a"", ""91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7""]",PASS
