classifier_id,prediction_score_status,roc_auc_curve_status,prediction_tsne_status,prediction_row_count,roc_curve_point_count,tsne_point_count
b16_lr1e-4,available,available,available,31,244,31
b16_lr3e-4,available,available,available,31,248,31
b16_lr1e-3,available,available,available,31,241,31
b32_lr1e-4,available,available,available,31,244,31
b32_lr3e-4,available,available,available,31,247,31
b32_lr1e-3,available,available,available,31,251,31
