case_id,bin_index,bin_left,bin_right,count,fraction,mean_confidence,accuracy
b16_lr1e-4,0,0.0,0.1,0,0.0,,
b16_lr1e-4,1,0.1,0.2,0,0.0,,
b16_lr1e-4,2,0.2,0.30000000000000004,0,0.0,,
b16_lr1e-4,3,0.30000000000000004,0.4,0,0.0,,
b16_lr1e-4,4,0.4,0.5,5,0.16129032258064516,0.4721526364213987,0.0
b16_lr1e-4,5,0.5,0.6000000000000001,5,0.16129032258064516,0.5573256248791802,0.6
b16_lr1e-4,6,0.6000000000000001,0.7000000000000001,7,0.22580645161290322,0.6645270105614581,0.42857142857142855
b16_lr1e-4,7,0.7000000000000001,0.8,5,0.16129032258064516,0.737662811503492,0.6
b16_lr1e-4,8,0.8,0.9,4,0.12903225806451613,0.8650382768402078,0.75
b16_lr1e-4,9,0.9,1.0,5,0.16129032258064516,0.9253194592706493,0.8
b16_lr3e-4,0,0.0,0.1,0,0.0,,
b16_lr3e-4,1,0.1,0.2,0,0.0,,
b16_lr3e-4,2,0.2,0.30000000000000004,0,0.0,,
b16_lr3e-4,3,0.30000000000000004,0.4,0,0.0,,
b16_lr3e-4,4,0.4,0.5,1,0.03225806451612903,0.48171980148180565,1.0
b16_lr3e-4,5,0.5,0.6000000000000001,8,0.25806451612903225,0.5432926677527143,0.625
b16_lr3e-4,6,0.6000000000000001,0.7000000000000001,6,0.1935483870967742,0.6476443792067351,0.3333333333333333
b16_lr3e-4,7,0.7000000000000001,0.8,6,0.1935483870967742,0.7443324644619738,0.16666666666666666
b16_lr3e-4,8,0.8,0.9,7,0.22580645161290322,0.845677088551273,0.5714285714285714
b16_lr3e-4,9,0.9,1.0,3,0.0967741935483871,0.9713846465597715,1.0
b16_lr1e-3,0,0.0,0.1,0,0.0,,
b16_lr1e-3,1,0.1,0.2,0,0.0,,
b16_lr1e-3,2,0.2,0.30000000000000004,0,0.0,,
b16_lr1e-3,3,0.30000000000000004,0.4,0,0.0,,
b16_lr1e-3,4,0.4,0.5,1,0.03225806451612903,0.45290138912633016,0.0
b16_lr1e-3,5,0.5,0.6000000000000001,5,0.16129032258064516,0.5420757619271493,0.6
b16_lr1e-3,6,0.6000000000000001,0.7000000000000001,7,0.22580645161290322,0.6484074791285981,0.5714285714285714
b16_lr1e-3,7,0.7000000000000001,0.8,6,0.1935483870967742,0.7653289411217715,0.6666666666666666
b16_lr1e-3,8,0.8,0.9,7,0.22580645161290322,0.870695952251381,0.42857142857142855
b16_lr1e-3,9,0.9,1.0,5,0.16129032258064516,0.9419169958674983,1.0
b32_lr1e-4,0,0.0,0.1,0,0.0,,
b32_lr1e-4,1,0.1,0.2,0,0.0,,
b32_lr1e-4,2,0.2,0.30000000000000004,0,0.0,,
b32_lr1e-4,3,0.30000000000000004,0.4,0,0.0,,
b32_lr1e-4,4,0.4,0.5,2,0.06451612903225806,0.49663809628395883,1.0
b32_lr1e-4,5,0.5,0.6000000000000001,3,0.0967741935483871,0.567279674016873,0.0
b32_lr1e-4,6,0.6000000000000001,0.7000000000000001,7,0.22580645161290322,0.6540419932247536,0.42857142857142855
b32_lr1e-4,7,0.7000000000000001,0.8,5,0.16129032258064516,0.7262694852536608,0.4
b32_lr1e-4,8,0.8,0.9,7,0.22580645161290322,0.844999764942245,0.5714285714285714
b32_lr1e-4,9,0.9,1.0,7,0.22580645161290322,0.9661598542815862,0.5714285714285714
b32_lr3e-4,0,0.0,0.1,0,0.0,,
b32_lr3e-4,1,0.1,0.2,0,0.0,,
b32_lr3e-4,2,0.2,0.30000000000000004,0,0.0,,
b32_lr3e-4,3,0.30000000000000004,0.4,0,0.0,,
b32_lr3e-4,4,0.4,0.5,2,0.06451612903225806,0.46441374199574137,1.0
b32_lr3e-4,5,0.5,0.6000000000000001,3,0.0967741935483871,0.5361637678803707,0.6666666666666666
b32_lr3e-4,6,0.6000000000000001,0.7000000000000001,5,0.16129032258064516,0.6701161349966822,0.6
b32_lr3e-4,7,0.7000000000000001,0.8,7,0.22580645161290322,0.7587207015477953,0.42857142857142855
b32_lr3e-4,8,0.8,0.9,9,0.2903225806451613,0.8712599543667521,0.5555555555555556
b32_lr3e-4,9,0.9,1.0,5,0.16129032258064516,0.9573109218416341,0.6
b32_lr1e-3,0,0.0,0.1,0,0.0,,
b32_lr1e-3,1,0.1,0.2,0,0.0,,
b32_lr1e-3,2,0.2,0.30000000000000004,0,0.0,,
b32_lr1e-3,3,0.30000000000000004,0.4,0,0.0,,
b32_lr1e-3,4,0.4,0.5,2,0.06451612903225806,0.47380196937961316,0.5
b32_lr1e-3,5,0.5,0.6000000000000001,5,0.16129032258064516,0.5402203285285345,0.0
b32_lr1e-3,6,0.6000000000000001,0.7000000000000001,9,0.2903225806451613,0.6578614796069688,0.5555555555555556
b32_lr1e-3,7,0.7000000000000001,0.8,2,0.06451612903225806,0.7810906416293956,1.0
b32_lr1e-3,8,0.8,0.9,2,0.06451612903225806,0.8649608250916554,0.5
b32_lr1e-3,9,0.9,1.0,11,0.3548387096774194,0.9432981700803688,0.5454545454545454
