case_id,balance_line,declared_source_line,resolved_config_balance_line,source_line_provenance,selected_cell_validation,view_role,case_status,quality_weighting,quality_weight_source,resolved_config_path,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_balanced_accuracy_repeat_ci95,participant_macro_f1_mean_sd,participant_macro_f1_repeat_ci95,worst_class_recall,worst_class_f1,expected_calibration_error,repeat_worst_class_recall_population_sd,repeat_worst_class_f1_population_sd,repeat_expected_calibration_error_population_sd,repeat_count,participant_oof_prediction_count,participant_oof_total_count,dropped_participant_oof_count,file_oof_prediction_count,retained_file_oof_prediction_count,dropped_file_oof_prediction_count,source_replay_validation,metric_source,line_a_minus_line_b_balanced_accuracy,line_a_minus_line_b_macro_f1
b16_lr1e-3,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/b16_lr1e-3/resolved_config.yaml,False,63.3 ± 9.7,"[49.9, 76.8]",56.0 ± 13.3,"[37.6, 74.3]",0.16666666666666666,0.2333333333333333,0.24647157225700694,0.21081851067789198,0.29059326290271154,0.059146972227757014,5,31,31,0,155,155,0,not_applicable_posthoc_view,file_oof_reaggregation,0.011111111111111072,0.0028571428571428914
b16_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/b16_lr1e-3/resolved_config.yaml,True,62.2 ± 19.1,"[35.8, 88.7]",55.7 ± 20.3,"[27.5, 83.8]",0.2333333333333333,0.29333333333333333,0.3250614204648571,0.29059326290271154,0.36172426576668104,0.08563390913610451,5,31,31,0,155,155,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.011111111111111072,0.0028571428571428914
b16_lr1e-4,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/b16_lr1e-4/resolved_config.yaml,False,55.6 ± 16.1,"[33.2, 77.9]",45.6 ± 18.6,"[19.8, 71.4]",0.2,0.2333333333333333,0.2850886855570112,0.24494897427831783,0.29059326290271154,0.06779770200168123,5,31,31,0,155,155,0,not_applicable_posthoc_view,file_oof_reaggregation,0.011111111111111072,-0.02317460317460318
b16_lr1e-4,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/b16_lr1e-4/resolved_config.yaml,True,54.4 ± 23.1,"[22.3, 86.6]",47.9 ± 23.2,"[15.7, 80.1]",0.26666666666666666,0.3333333333333333,0.3251916885985168,0.2260776661041756,0.27888667551135854,0.11316037855901631,5,31,31,0,155,155,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.011111111111111072,-0.02317460317460318
b16_lr3e-4,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/b16_lr3e-4/resolved_config.yaml,False,45.6 ± 14.2,"[25.8, 65.3]",33.9 ± 13.7,"[14.9, 53.0]",0.0,0.0,0.377210124214511,0.0,0.0,0.1348534270910629,5,31,31,0,155,155,0,not_applicable_posthoc_view,file_oof_reaggregation,-0.10000000000000003,-0.1485714285714287
b16_lr3e-4,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/b16_lr3e-4/resolved_config.yaml,True,55.6 ± 23.3,"[23.2, 87.9]",48.8 ± 25.4,"[13.5, 84.1]",0.26666666666666666,0.3466666666666667,0.3565502103147599,0.2260776661041756,0.2993325909419153,0.10493563789361773,5,31,31,0,155,155,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,-0.10000000000000003,-0.1485714285714287
b32_lr1e-3,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/b32_lr1e-3/resolved_config.yaml,False,53.3 ± 11.4,"[37.5, 69.2]",46.0 ± 16.6,"[22.9, 69.1]",0.16666666666666666,0.18,0.3739920233258188,0.21081851067789195,0.22271057451320087,0.15566562433471592,5,31,31,0,155,155,0,not_applicable_posthoc_view,file_oof_reaggregation,0.022222222222222143,0.02349206349206351
b32_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/b32_lr1e-3/resolved_config.yaml,True,51.1 ± 20.9,"[22.1, 80.1]",43.6 ± 21.6,"[13.6, 73.6]",0.16666666666666666,0.2,0.38554965209102193,0.21081851067789195,0.24494897427831783,0.18161620912451704,5,31,31,0,155,155,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.022222222222222143,0.02349206349206351
b32_lr1e-4,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/b32_lr1e-4/resolved_config.yaml,False,52.2 ± 12.0,"[35.6, 68.8]",44.5 ± 16.4,"[21.8, 67.2]",0.16666666666666666,0.18,0.4075858848073328,0.21081851067789195,0.22271057451320087,0.16800558011669206,5,31,31,0,155,155,0,not_applicable_posthoc_view,file_oof_reaggregation,0.0,0.0
b32_lr1e-4,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/b32_lr1e-4/resolved_config.yaml,True,52.2 ± 12.0,"[35.6, 68.8]",44.5 ± 16.4,"[21.8, 67.2]",0.16666666666666666,0.18,0.41463371124946374,0.21081851067789195,0.22271057451320087,0.09252797699479133,5,31,31,0,155,155,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.0,0.0
