worst_class_f1_stability_rank,predictive_rank,case_id,abstention_aware_worst_class_f1,abstention_aware_worst_class_recall,worst_class_f1,worst_class_recall,participant_abstention_aware_balanced_accuracy_mean_sd,participant_balanced_accuracy_mean_sd,balanced_accuracy_lcb95
1,1,b16_lr1e-3,0.5925925925925927,0.5,0.5925925925925926,0.5,62.2 ± 19.1,62.2 ± 19.1,0.4191469008108507
2,3,b16_lr3e-4,0.48000000000000004,0.46153846153846156,0.48,0.46153846153846156,55.6 ± 23.3,55.6 ± 23.3,0.30712224750638983
3,2,b32_lr3e-4,0.47058823529411764,0.4,0.47058823529411764,0.4,58.9 ± 16.7,58.9 ± 16.7,0.41084064126594244
4,4,b16_lr1e-4,0.4615384615384615,0.375,0.46153846153846156,0.375,54.4 ± 23.1,54.4 ± 23.1,0.29771081410440436
5,6,b32_lr1e-3,0.4210526315789474,0.4,0.42105263157894735,0.4,51.1 ± 20.9,51.1 ± 20.9,0.2882752337459673
6,5,b32_lr1e-4,0.39999999999999997,0.375,0.4,0.375,52.2 ± 12.0,52.2 ± 12.0,0.39466281902301037
