case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source,expected_calibration_error
b16_lr3e-4,0,0.16666666666666666,0.09523809523809523,0.5,0.5277777777777778,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.49124504848362455
b16_lr3e-4,1,0.4444444444444444,0.3333333333333333,0.6777777777777777,0.7129629629629629,0.0,0.0,7,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.4357447341589805
b16_lr3e-4,2,0.7222222222222222,0.6666666666666666,0.7805555555555556,0.7222222222222222,0.5,0.6666666666666666,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.27896739545707305
b16_lr3e-4,3,0.611111111111111,0.5222222222222223,0.8055555555555557,0.7796296296296296,0.3333333333333333,0.4,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.20083513597754765
b16_lr3e-4,4,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8444444444444444,0.5,0.6666666666666666,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.3759587374965737
b32_lr1e-3,0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.6312766671077399
b32_lr1e-3,1,0.5,0.41904761904761906,0.7388888888888889,0.6888888888888888,0.0,0.0,7,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.29235873091512377
b32_lr1e-3,2,0.611111111111111,0.5222222222222221,0.8101851851851851,0.8444444444444444,0.3333333333333333,0.4,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.4541627006718791
b32_lr1e-3,3,0.5555555555555555,0.5238095238095238,0.6527777777777778,0.6592592592592593,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.17844315733384705
b32_lr1e-3,4,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.5,0.5,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3137188606005045
b32_lr1e-3,0,0.16666666666666666,0.09523809523809523,0.625,0.6388888888888888,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.6875355758038455
b32_lr1e-3,1,0.5,0.41904761904761906,0.7999999999999999,0.7333333333333334,0.0,0.0,7,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.34648626879717487
b32_lr1e-3,2,0.7777777777777777,0.6666666666666666,0.8518518518518517,0.9,0.3333333333333333,0.5,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.32314468152014675
b32_lr1e-3,3,0.4444444444444444,0.3333333333333333,0.7685185185185185,0.7611111111111111,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.4405370632361606
b32_lr1e-3,4,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8444444444444444,0.5,0.5,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.13004467109778198
b32_lr1e-4,0,0.3333333333333333,0.19047619047619047,0.6666666666666666,0.5833333333333334,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.5295621708346043
b32_lr1e-4,1,0.4444444444444444,0.3333333333333333,0.6777777777777777,0.7129629629629629,0.0,0.0,7,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.5890939210419779
